bds_body,volume_mm3,inside_JR_mm3,inside_Can_mm3,inside_Cap_mm3,outside_reference_mm3,pct_JR,pct_Can,pct_Cap,pct_outside,crosses_reference_domains,dominant_reference_domain,classification
Mandrel,1840.9419,1840.9413,0.0,0.0002,0.0004,100.0,0.0,0.0,0.0,NO,JR,EXACT_SUBDIVISION_JR
Jellyroll,14509.1722,14509.1677,0.0,0.0015,0.003,100.0,0.0,0.0,0.0,NO,JR,EXACT_SUBDIVISION_JR
Can,6202.0537,5189.8171,599.4722,216.6306,196.1337,83.68,9.67,3.49,3.16,YES,JR,CROSSES_REFERENCE_DOMAINS
+Ve Tab Root,0.0071,0.0,0.0,0.0071,0.0,0.0,0.0,100.0,0.0,NO,Cap,EXACT_SUBDIVISION_CAP
+Ve Tab Stem,0.0676,0.0,0.0,0.0676,0.0,0.0,0.0,100.0,0.0,NO,Cap,EXACT_SUBDIVISION_CAP
-Ve Tab Root,0.0061,0.0,0.0061,0.0,0.0,0.0,100.0,0.0,0.0,NO,Can,EXACT_SUBDIVISION_CAN
-Ve Tab Stem,0.0474,0.0,0.0074,0.0,0.04,0.0,15.63,0.0,84.37,NO,outside,OUTSIDE_REFERENCE_GEOMETRY
+Ve Washer,14.9424,0.0,0.0,14.9424,0.0,0.0,0.0,100.0,0.0,NO,Cap,EXACT_SUBDIVISION_CAP
-Ve Washer,14.9424,0.0,0.0,0.0,14.9424,0.0,0.0,0.0,100.0,NO,outside,OUTSIDE_REFERENCE_GEOMETRY
+Ve EndPlate,20.4141,0.0,0.0,20.4141,0.0,0.0,0.0,100.0,0.0,NO,Cap,EXACT_SUBDIVISION_CAP
-Ve EndPlate,20.4141,0.0,0.0,0.0,20.4141,0.0,0.0,0.0,100.0,NO,outside,OUTSIDE_REFERENCE_GEOMETRY
+Ve Internal-Post,8.2207,0.0,0.0,8.2207,0.0,0.0,0.0,100.0,0.0,NO,Cap,EXACT_SUBDIVISION_CAP
-Ve Internal-Post,8.2207,0.0,0.0,0.0,8.2207,0.0,0.0,0.0,100.0,NO,outside,OUTSIDE_REFERENCE_GEOMETRY
