meshKey,ecmCellId,weight
0,2,7.9388526e-08
1,2,1.0146711e-07
2,2,1.071886e-07
3,2,9.6104353e-08
4,2,4.319774e-08
5,2,5.5969089e-08
6,2,1.3539356e-07
7,1,1.2365058e-07
8,1,1.2455205e-07
9,1,1.2599783e-07
10,1,1.2626086e-07
11,1,1.2558819e-07
12,1,1.2737643e-07
13,2,1.1749622e-07
14,2,1.0578942e-07
15,2,1.2269303e-07
16,1,1.3108827e-07
17,1,1.3185089e-07
18,1,1.2300523355492178e-07
19,1,5.435818028204954e-08
20,1,1.6994346737017232e-08
21,1,9.676416369998156e-09
22,1,3.188106930002575e-08
23,1,8.470645557669444e-08
24,1,1.2995534e-07
25,1,1.3145016e-07
26,1,1.2063286e-07
27,2,7.3683935e-08
28,2,5.4525047e-08
29,2,1.3562173e-07
30,1,1.3674298e-07
31,1,1.0671250595217304e-07
32,0,1.2819668e-07
33,0,1.2637383e-07
34,0,1.2554687e-07
35,0,1.2524293e-07
36,0,1.2520661e-07
37,0,1.2535653e-07
38,0,1.2584079e-07
39,0,1.2690847e-07
40,1,3.6631887724840875e-08
41,1,1.3299934e-07
42,1,1.3733666e-07
43,2,9.8295391e-08
44,2,1.1251607e-07
45,1,1.3178801e-07
46,1,4.696648467106176e-08
47,0,1.2748776e-07
48,0,1.2581105e-07
49,0,1.2526017e-07
50,0,1.2508514e-07
51,0,1.2503005e-07
52,0,1.250227e-07
53,0,1.2504845e-07
54,0,1.2513796e-07
55,0,1.2541193e-07
56,0,1.2631564e-07
57,0,1.2879739e-07
58,1,1.322625e-07
59,1,1.2415224e-07
60,2,9.8544083e-08
61,2,1.2298081e-07
62,1,1.3246067e-07
63,1,4.410907932396664e-08
64,0,1.2678381e-07
65,0,1.2556784e-07
66,0,1.2515232e-07
67,0,7.19568131036869e-08
68,0,1.2501553e-07
69,0,1.2500589e-07
70,0,1.250041e-07
71,0,1.2500811e-07
72,0,2.210533377841825e-08
73,0,1.2507072e-07
74,0,1.2526956e-07
75,0,1.2597693e-07
76,0,1.2763359e-07
77,1,1.3040859e-07
78,1,1.2836324e-07
79,2,5.0678088e-08
80,2,5.7589274e-08
81,1,1.3146191e-07
82,1,1.0450025025148293e-07
83,0,1.2685372e-07
84,0,1.2545613e-07
85,0,1.2510962e-07
86,0,1.2503181e-07
87,0,1.250131e-07
88,0,1.2500686e-07
89,0,1.2500422e-07
90,0,1.2500345e-07
91,0,1.2500425e-07
92,0,1.2500711e-07
93,0,1.2501549e-07
94,0,7.196830291698e-08
95,0,1.2520422e-07
96,0,1.2588108e-07
97,0,1.2829534e-07
98,1,1.321512e-07
99,2,1.4026682e-07
100,2,1.3555853e-07
101,1,1.3247227e-07
102,0,1.2809626e-07
103,0,1.2570361e-07
104,0,1.2512552e-07
105,0,1.2502877e-07
106,0,1.2501191e-07
107,0,1.2500731e-07
108,0,1.2500528e-07
109,0,1.250042e-07
110,0,1.250038e-07
111,0,1.2500395e-07
112,0,1.2500467e-07
113,0,1.2500651e-07
114,0,1.25013e-07
115,0,9.14688282863355e-08
116,0,1.2528439e-07
117,0,1.2650537e-07
118,1,9.58478804592132e-08
119,1,1.290424e-07
120,2,5.0282325e-08
121,1,1.2518832e-07
122,1,1.227514283610103e-07
123,0,1.2635581e-07
124,0,1.2524549e-07
125,0,7.194990455380633e-08
126,0,1.2501221e-07
127,0,1.2500719e-07
128,0,1.2500557e-07
129,0,1.2500471e-07
130,0,1.250042e-07
131,0,1.2500395e-07
132,0,1.2500391e-07
133,0,1.2500407e-07
134,0,1.2500449e-07
135,0,1.2500606e-07
136,0,1.2501564e-07
137,0,1.2509022e-07
138,0,1.2558258e-07
139,1,1.2753731e-07
140,1,1.2980837e-07
141,2,1.2258884e-07
142,2,7.8232913e-08
143,1,1.249067e-07
144,1,5.4250484289066856e-08
145,0,1.2552358e-07
146,0,1.250809e-07
147,0,1.2501479e-07
148,0,1.2500672e-07
149,0,1.2500527e-07
150,0,1.2500471e-07
151,0,1.2500437e-07
152,0,1.2500409e-07
153,0,1.2500393e-07
154,0,1.2500384e-07
155,0,1.2500378e-07
156,0,1.2500374e-07
157,0,1.2500387e-07
158,0,1.2500616e-07
159,0,1.0108690756772321e-07
160,0,1.2521498e-07
161,0,1.2617238e-07
162,1,1.2780729e-07
163,2,1.1077281e-07
164,2,1.0178769e-07
165,1,1.2623669e-07
166,1,1.712613289623119e-08
167,0,1.2524801e-07
168,0,1.2503035e-07
169,0,1.2500606e-07
170,0,1.250043e-07
171,0,1.2500425e-07
172,0,1.2500422e-07
173,0,1.2500411e-07
174,0,1.2500397e-07
175,0,1.2500386e-07
176,0,1.2500374e-07
177,0,1.2500361e-07
178,0,1.2500335e-07
179,0,1.2500296e-07
180,0,1.2500285e-07
181,0,5.215983249860416e-08
182,0,1.2508866e-07
183,0,1.2560948e-07
184,1,1.2693808e-07
185,1,1.1821837e-07
186,2,1.0380439e-07
187,1,1.2700793e-07
188,1,9.86803180098268e-09
189,0,1.2522045e-07
190,0,1.2502376e-07
191,0,1.2500435e-07
192,0,1.2500357e-07
193,0,1.2500386e-07
194,0,1.2500398e-07
195,0,1.2500395e-07
196,0,1.2500387e-07
197,0,1.2500377e-07
198,0,1.2500363e-07
199,0,1.2500346e-07
200,0,1.2500315e-07
201,0,1.250026e-07
202,0,1.250021e-07
203,0,4.2193768421516026e-08
204,0,1.2507237e-07
205,0,1.2555094e-07
206,1,1.270547e-07
207,1,1.2002569e-07
208,2,9.3432474e-08
209,1,1.2515502e-07
210,1,3.180182358324329e-08
211,0,1.2533794e-07
212,0,1.2504643e-07
213,0,1.2500802e-07
214,0,1.2500429e-07
215,0,1.2500398e-07
216,0,1.2500394e-07
217,0,1.2500387e-07
218,0,1.2500376e-07
219,0,1.2500365e-07
220,0,1.2500352e-07
221,0,1.2500335e-07
222,0,1.2500307e-07
223,0,1.2500272e-07
224,0,1.2500329e-07
225,0,7.190734994241455e-08
226,0,1.2513084e-07
227,0,1.2579941e-07
228,1,1.2712074e-07
229,2,1.144589e-07
230,2,4.2063251e-08
231,1,1.2652838e-07
232,1,8.449132115699668e-08
233,0,1.2584209e-07
234,0,1.2514069e-07
235,0,2.2105790236485338e-08
236,0,1.2500698e-07
237,0,1.2500467e-07
238,0,1.2500411e-07
239,0,1.2500382e-07
240,0,1.2500362e-07
241,0,1.2500347e-07
242,0,1.2500336e-07
243,0,1.2500324e-07
244,0,1.2500314e-07
245,0,1.2500354e-07
246,0,1.2500801e-07
247,0,1.2504766e-07
248,0,1.2534651e-07
249,0,1.2674232e-07
250,1,1.2907203e-07
251,2,1.3371657e-07
252,2,1.1759274e-07
253,1,1.3041253e-07
254,0,1.2709015e-07
255,0,1.2542291e-07
256,0,1.2506729e-07
257,0,1.250147e-07
258,0,1.2500652e-07
259,0,1.2500456e-07
260,0,1.2500379e-07
261,0,1.2500338e-07
262,0,1.2500317e-07
263,0,1.2500309e-07
264,0,1.2500319e-07
265,0,1.2500373e-07
266,0,1.2500661e-07
267,0,2.2117231101065562e-08
268,0,1.2515694e-07
269,0,1.2592717e-07
270,1,4.255599539416223e-08
271,1,1.2914035e-07
272,2,8.9695882e-08
273,2,1.0418968e-07
274,1,1.3259882e-07
275,1,3.6742656592241595e-08
276,0,1.2616536e-07
277,0,1.2522797e-07
278,0,7.19655728048969e-08
279,0,1.2501362e-07
280,0,1.2500639e-07
281,0,1.2500401e-07
282,0,1.2500299e-07
283,0,1.2500262e-07
284,0,1.2500276e-07
285,0,1.2500367e-07
286,0,1.25007e-07
287,0,1.2502177e-07
288,0,1.251016e-07
289,0,1.2553888e-07
290,0,1.2738743e-07
291,1,1.3144222e-07
292,1,1.2340471e-07
293,2,1.1925811e-07
294,1,1.3161051e-07
295,0,1.2780341e-07
296,0,1.2586008e-07
297,0,1.2522524e-07
298,0,9.147978802396377e-08
299,0,1.2501692e-07
300,0,1.2500647e-07
301,0,1.2500295e-07
302,0,1.2500208e-07
303,0,1.2500322e-07
304,0,1.2500831e-07
305,0,2.2120639025048704e-08
306,0,1.2511513e-07
307,0,1.2548408e-07
308,0,1.2672956e-07
309,1,6.725670679174177e-08
310,1,1.3253695e-07
311,2,1.0306018e-07
312,2,7.389638e-08
313,1,1.3043627e-07
314,1,1.3029678e-07
315,0,1.2818541e-07
316,0,1.2614051e-07
317,0,1.2532473e-07
318,0,1.2509389e-07
319,0,1.0108904584784581e-07
320,0,5.216072579639445e-08
321,0,4.2193536701173256e-08
322,0,7.190503822755361e-08
323,0,1.2504647e-07
324,0,1.2516611e-07
325,0,1.2563207e-07
326,0,1.2714157e-07
327,1,3.773716654400959e-08
328,1,1.3081089e-07
329,2,1.4698994e-07
330,2,1.0870338e-07
331,1,1.3244554e-07
332,1,1.33863e-07
333,1,1.2906927e-07
334,0,1.2659092e-07
335,0,1.255924e-07
336,0,1.2522044e-07
337,0,1.2509233e-07
338,0,1.2507257e-07
339,0,1.2511854e-07
340,0,1.2532369e-07
341,0,1.2590757e-07
342,0,1.2752084e-07
343,1,6.971496439876077e-08
344,1,1.3706198e-07
345,2,1.1191324e-07
346,2,4.9684688e-08
347,2,8.3497073e-08
348,1,1.2896035e-07
349,1,1.3248251e-07
350,1,9.588059478373308e-08
351,1,1.2759218e-07
352,0,1.2621545e-07
353,0,1.2563547e-07
354,0,1.2556419e-07
355,0,1.2572499e-07
356,0,1.2659887e-07
357,1,4.218532607185004e-08
358,1,1.3101915e-07
359,1,1.3070405e-07
360,2,1.43371e-07
361,2,2.1039979e-08
362,2,5.2014797e-08
363,2,1.398122e-07
364,1,1.2921138e-07
365,1,1.2973145e-07
366,1,1.2798941e-07
367,1,1.2704215e-07
368,1,1.2716593e-07
369,1,1.2673634e-07
370,1,1.2856022e-07
371,1,1.2875436e-07
372,1,1.2326307e-07
373,2,1.0480239e-07
374,2,4.9725769e-08
375,2,1.2112181e-07
376,2,1.1147916e-07
377,1,1.1751468e-07
378,1,1.1985432e-07
379,2,1.1342702e-07
380,2,1.3211045e-07
381,2,9.1603123e-08
382,2,1.0505383e-07
383,2,1.2620356e-07
384,2,1.2761064e-07
385,2,1.2023707e-07
386,2,6.6075153e-08
387,2,7.9147796e-08
388,2,1.5883248e-07
389,1,1.2961007e-07
390,1,1.026525e-06
391,1,9.9085023e-07
392,1,9.9069737e-07
393,1,1.0275018e-06
394,1,1.1752605e-07
395,2,1.2500915e-07
396,2,1.2552549e-07
397,2,1.4751205e-07
398,1,1.1076711e-06
399,1,7.895387319342212e-07
400,1,4.3212425391741403e-07
401,0,1.4500113270528078e-07
402,0,4.20359275564208e-08
403,0,4.205933796072261e-08
404,0,1.4506424181969944e-07
405,1,4.3105697349326956e-07
406,1,7.871342131338566e-07
407,1,1.1067495e-06
408,1,1.1726158e-07
409,2,9.6298792e-08
410,2,8.5257107e-08
411,1,1.1729065e-07
412,1,9.729041843003174e-07
413,1,2.956202596510334e-07
414,0,1.0073798e-06
415,0,9.9753985e-07
416,0,9.8972136e-07
417,0,9.8709655e-07
418,0,9.8711366e-07
419,0,9.8965541e-07
420,0,9.969802e-07
421,0,1.0063055e-06
422,1,2.9375171748339945e-07
423,1,9.724154685541228e-07
424,1,1.2154976e-07
425,2,1.3521625e-07
426,1,1.1694996e-07
427,1,7.960329589499462e-07
428,0,5.04067076467048e-08
429,0,1.0013622e-06
430,0,9.9523325e-07
431,0,9.9146129e-07
432,0,8.290041356169849e-07
433,0,6.763871233641847e-07
434,0,6.76373664370319e-07
435,0,8.289122997412456e-07
436,0,9.912432e-07
437,0,9.9479796e-07
438,0,1.0007436e-06
439,0,4.9074146550023935e-08
440,1,7.944630842142571e-07
441,1,1.116984e-07
442,2,1.17389e-07
443,2,1.5028547e-07
444,1,9.650428788003546e-07
445,0,4.679589670591937e-08
446,0,9.9696206e-07
447,0,9.9322459e-07
448,0,6.822850553046403e-07
449,0,2.04855882567598e-07
450,0,9.8834306e-07
451,0,9.8785534e-07
452,0,9.8784865e-07
453,0,9.8831139e-07
454,0,2.047462556527355e-07
455,0,6.820057059080431e-07
456,0,9.929477e-07
457,0,9.9650575e-07
458,0,4.5648205588873315e-08
459,1,9.637681070145093e-07
460,1,1.2308944e-07
461,2,7.4920071e-08
462,2,8.1179762e-08
463,1,1.1091794e-06
464,1,2.9226963386548974e-07
465,0,9.9929184e-07
466,0,9.9267067e-07
467,0,5.272132349108636e-07
468,0,9.8927086e-07
469,0,9.8854672e-07
470,0,9.8809872e-07
471,0,9.8787621e-07
472,0,9.87871e-07
473,0,9.8807952e-07
474,0,9.8850409e-07
475,0,9.8919265e-07
476,0,5.269946909761453e-07
477,0,9.9240429e-07
478,0,9.9875819e-07
479,1,2.9155112175894065e-07
480,1,1.1068221e-06
481,2,1.5295917e-07
482,2,1.6041942e-07
483,1,7.89885839840354e-07
484,0,1.0068296e-06
485,0,9.9457267e-07
486,0,6.819224827199492e-07
487,0,9.8921738e-07
488,0,9.8855347e-07
489,0,9.88189e-07
490,0,9.8796846e-07
491,0,9.8785807e-07
492,0,9.8785418e-07
493,0,9.8795523e-07
494,0,9.8816226e-07
495,0,9.8850684e-07
496,0,9.891379e-07
497,0,6.817295037845467e-07
498,0,9.9428826e-07
499,0,1.006132e-06
500,1,7.880315870509122e-07
501,1,1.2389753e-07
502,2,7.1532864e-08
503,1,1.2914241e-07
504,1,4.320728337002941e-07
505,0,9.9737287e-07
506,0,9.9129195e-07
507,0,2.047788899947981e-07
508,0,9.8852556e-07
509,0,9.8818743e-07
510,0,9.8799937e-07
511,0,9.8788512e-07
512,0,9.8782744e-07
513,0,9.8782455e-07
514,0,9.8787566e-07
515,0,9.8798133e-07
516,0,9.8815728e-07
517,0,9.8847796e-07
518,0,2.0468838628460054e-07
519,0,9.9116385e-07
520,0,9.9709492e-07
521,1,4.311938397770717e-07
522,1,1.2123774e-07
523,2,1.3733879e-07
524,2,1.032912e-07
525,1,1.0280784e-06
526,0,1.4550402784408617e-07
527,0,9.8981625e-07
528,0,8.290505097449721e-07
529,0,9.8834902e-07
530,0,9.881059e-07
531,0,9.8797509e-07
532,0,9.8788873e-07
533,0,9.8783082e-07
534,0,9.8780013e-07
535,0,9.8779817e-07
536,0,9.8782441e-07
537,0,9.8787691e-07
538,0,9.8795614e-07
539,0,9.88078e-07
540,0,9.8831141e-07
541,0,8.289364539300517e-07
542,0,9.8977508e-07
543,0,1.4532006132066874e-07
544,1,1.0287366e-06
545,2,1.0940039e-07
546,2,1.2590034e-07
547,1,9.9253516e-07
548,0,4.29747359211428e-08
549,0,9.8738714e-07
550,0,6.7654716928638e-07
551,0,9.8789889e-07
