time,Q_sum_check_W
0.1,3.5862599
0.2,3.2969594
0.3,3.189597
0.4,3.1389433
0.5,3.1172303
0.6,3.1075232
0.7,3.102716
0.8,3.0999817
0.9,3.0982062
1.0,3.0968853
1.1,3.0956648
1.2,3.0945229
1.3,3.0934808
1.4,3.0924978
1.5,3.091645
1.6,3.0907148
1.7,3.0898634
1.8,3.0890566
1.9,3.0882937
2.0,3.0874655
2.1,3.086625
2.2,3.0859045
2.3,3.0850753
2.4,3.0843001
2.5,3.0836145
2.6,3.0828669
2.7,3.0821451
2.8,3.0815206
2.9,3.0807746
3.0,3.0800632
3.1,3.0794794
3.2,3.0787811
3.3,3.0781138
3.4,3.0775704
3.5,3.0769123
3.6,3.0762833
3.7,3.0757714
3.8,3.0751504
3.9,3.0745571
4.0,3.0740742
4.1,3.07349
4.2,3.072932
4.3,3.0724781
4.4,3.0719279
4.5,3.0714027
4.6,3.0709759
4.7,3.0704596
4.8,3.0699668
4.9,3.0695665
5.0,3.0690817
5.1,3.0686192
5.2,3.068248
5.3,3.0677928
5.4,3.0673592
5.5,3.0670071
5.6,3.0665822
5.7,3.0661774
5.8,3.0658528
5.9,3.0654555
6.0,3.0650775
6.1,3.0647712
6.2,3.0644016
6.3,3.06405
6.4,3.063769
6.5,3.0634247
6.6,3.0630976
6.7,3.0628332
6.8,3.0625144
6.9,3.0622118
7.0,3.0619706
7.1,3.0616753
7.2,3.0613954
7.3,3.0611697
7.4,3.0608979
7.5,3.0606403
7.6,3.0604358
7.7,3.0601854
7.8,3.0599486
7.9,3.0597584
8.0,3.0595297
8.1,3.0593136
8.2,3.0591427
8.3,3.0589338
8.4,3.0587369
8.5,3.0585797
8.6,3.0583905
8.7,3.0582123
8.8,3.0580723
8.9,3.0579014
9.0,3.057741
9.1,3.0576137
9.2,3.0574609
9.3,3.0573179
9.4,3.0572048
9.5,3.0570693
9.6,3.0569427
9.7,3.0568438
9.8,3.0567244
9.9,3.0566134
10.0,3.0565268
10.1,3.0564234
10.2,3.0563276
10.3,3.0562536
10.4,3.0561648
10.5,3.0560833
10.6,3.056021
10.7,3.0559468
10.8,3.0558791
10.9,3.0558283
11.0,3.0557677
11.1,3.0557132
11.2,3.0556733
11.3,3.055626
11.4,3.0555841
11.5,3.0555541
11.6,3.0555194
11.7,3.0554898
11.8,3.0554697
11.9,3.055447
12.0,3.055429
12.1,3.0554185
12.2,3.0554075
12.3,3.0554006
12.4,3.0553994
12.5,3.0553993
12.6,3.0554029
12.7,3.0554101
12.8,3.0554208
12.9,3.0554344
13.0,3.0554512
13.1,3.0554706
13.2,3.0554936
13.3,3.0555178
13.4,3.055548
13.5,3.0555802
13.6,3.0556128
13.7,3.0556514
13.8,3.055691
13.9,3.0557331
14.0,3.0557759
14.1,3.0558266
14.2,3.055879
14.3,3.0559285
14.4,3.0559878
14.5,3.0560473
14.6,3.0561037
14.7,3.0561694
14.8,3.0562353
14.9,3.0563
15.0,3.056369
15.1,3.0564394
15.2,3.0565135
15.3,3.0565906
15.4,3.0566677
15.5,3.0567518
15.6,3.0568364
15.7,3.0569183
15.8,3.0570088
15.9,3.0570996
16.0,3.0571857
16.1,3.0572832
16.2,3.0573821
16.3,3.0574687
16.4,3.0575754
16.5,3.0576813
16.6,3.057773
16.7,3.0578843
16.8,3.0579926
16.9,3.0580929
17.0,3.0582052
17.1,3.0583176
17.2,3.0584193
17.3,3.0585424
17.4,3.058664
17.5,3.0587688
17.6,3.0588959
17.7,3.0590189
17.8,3.0591324
17.9,3.0592587
18.0,3.0593829
18.1,3.0595012
18.2,3.0596312
18.3,3.0597641
18.4,3.0598816
18.5,3.0600241
18.6,3.0601639
18.7,3.0602854
18.8,3.0604294
18.9,3.0605687
19.0,3.0606947
19.1,3.0608396
19.2,3.0609831
19.3,3.0611082
19.4,3.061261
19.5,3.0614112
19.6,3.0615394
19.7,3.0616946
19.8,3.0618475
19.9,3.061976
20.0,3.0621351
20.1,3.0622914
20.2,3.0624241
20.3,3.0625858
20.4,3.0627447
20.5,3.062878
20.6,3.063043
20.7,3.0632051
20.8,3.0633427
20.9,3.06351
21.0,3.0636742
21.1,3.0638119
21.2,3.0639824
21.3,3.0641495
21.4,3.0642912
21.5,3.0644635
21.6,3.0646325
21.7,3.0647742
21.8,3.0649493
21.9,3.065121
22.0,3.0652665
22.1,3.0654432
22.2,3.0656164
22.3,3.0657612
22.4,3.0659407
22.5,3.0661163
22.6,3.0662651
22.7,3.0664456
22.8,3.0666227
22.9,3.0667706
23.0,3.0669536
23.1,3.0671328
23.2,3.0672842
23.3,3.0674683
23.4,3.0676487
23.5,3.0677995
23.6,3.0679859
23.7,3.068168
23.8,3.0683217
23.9,3.0685088
24.0,3.0686921
24.1,3.0688447
24.2,3.0690339
24.3,3.0692187
24.4,3.069375
24.5,3.0695645
24.6,3.0697501
24.7,3.0699048
24.8,3.0700962
24.9,3.0702833
25.0,3.0704413
25.1,3.0706331
25.2,3.0708208
25.3,3.0709773
25.4,3.0711707
25.5,3.0713598
25.6,3.0715189
25.7,3.0717126
25.8,3.0719021
25.9,3.0720598
26.0,3.0722549
26.1,3.0724455
26.2,3.0726065
26.3,3.0728016
26.4,3.0729924
26.5,3.0731512
26.6,3.0733476
26.7,3.0735395
26.8,3.0737011
26.9,3.0738975
27.0,3.0740895
27.1,3.0742495
27.2,3.0744469
27.3,3.0746397
27.4,3.0748021
27.5,3.0749994
27.6,3.0751923
27.7,3.0753529
27.8,3.0755512
27.9,3.0757448
28.0,3.0759079
28.1,3.0761059
28.2,3.0762994
28.3,3.0764624
28.4,3.0766607
28.5,3.0768544
28.6,3.0770157
28.7,3.0772146
28.8,3.0774088
28.9,3.0775721
29.0,3.0777708
29.1,3.077965
29.2,3.0781267
29.3,3.0783259
29.4,3.0785204
29.5,3.078684
29.6,3.0788829
29.7,3.079077
29.8,3.0792388
29.9,3.0794381
30.0,3.0796325
