time,Tavg_jellyRoll,Tavg_shell,Tavg_cap
0,313.15,313.15,313.15
1,399.672456,398.385309,394.290415
2,401.326595,400.015115,395.84274
3,402.576355,401.248166,397.015073
4,403.756596,402.407558,398.121298
5,404.919457,403.554148,399.211799
6,405.799699,404.423023,400.03747
7,406.611253,405.219839,400.79813
8,407.439424,406.036186,401.574734
9,408.063709,406.652292,402.160298
10,408.645911,407.224204,402.706073
11,409.237498,407.807367,403.260808
12,409.694205,408.258097,403.689183
13,410.11883,408.675215,404.087263
14,410.556175,409.10635,404.497354
15,410.897021,409.442736,404.817062
16,411.216981,409.757041,405.117023
17,411.55006,410.085399,405.429343
18,411.812609,410.344521,405.675612
19,412.061825,410.589324,405.909258
20,412.324008,410.847797,406.155104
21,412.53312,411.054191,406.351251
22,412.73371,411.251219,406.539309
23,412.946983,411.461481,406.73929
24,413.118848,411.631119,406.900506
25,413.285311,411.794618,407.056568
26,413.463963,411.970751,407.224094
27,413.609262,412.11417,407.360387
28,413.751144,412.253525,407.493403
29,413.904605,412.404822,407.637304
30,414.030376,412.528969,407.755286
31,414.153964,412.650355,407.87115
32,414.28849,412.782985,407.9973
33,414.399403,412.892466,408.101343
34,414.508921,413.000032,408.204015
35,414.628721,413.118144,408.316357
36,414.72793,413.216073,408.40942
37,414.826275,413.312666,408.50162
38,414.934156,413.419025,408.60279
39,415.02391,413.507624,408.686979
40,415.11306,413.595185,408.770558
41,415.211124,413.691867,408.862521
42,415.292854,413.772544,408.939185
43,415.374229,413.852469,409.015474
44,415.463925,413.940901,409.099586
45,415.538798,414.01481,409.169822
46,415.613426,414.088108,409.239787
47,415.695809,414.169331,409.317041
48,415.764658,414.237293,409.381626
49,415.83336,414.30477,409.446034
50,415.909258,414.379599,409.517213
51,415.972782,414.442306,409.576798
52,416.036158,414.504552,409.636213
53,416.106204,414.57361,409.701904
54,416.164905,414.631556,409.756963
55,416.223507,414.689113,409.811906
56,416.288328,414.753021,409.87269
57,416.342638,414.806632,409.923636
58,416.39686,414.859887,409.974472
59,416.456872,414.919053,410.030751
60,416.507155,414.968689,410.077917
61,416.557399,415.018038,410.12502
62,416.613018,415.072873,410.177177
63,416.659609,415.118863,410.220885
64,416.706189,415.164614,410.264555
65,416.757765,415.215464,410.312916
66,416.801001,415.258143,410.353475
67,416.844184,415.300557,410.393958
68,416.892025,415.347724,410.438822
69,416.93209,415.387272,410.47641
70,416.972205,415.426673,410.514015
71,417.016564,415.470406,410.555617
72,417.053812,415.507176,410.590554
73,417.091025,415.543725,410.625445
74,417.132252,415.584371,410.664105
75,417.166816,415.618491,410.696525
76,417.201357,415.652416,410.728909
77,417.239588,415.690107,410.764769
78,417.271721,415.721827,410.794903
79,417.303828,415.753362,410.825004
80,417.339338,415.78837,410.858308
81,417.369182,415.817832,410.886299
82,417.399,415.847119,410.914255
83,417.431985,415.879637,410.945191
84,417.459749,415.907045,410.971232
85,417.487467,415.934269,410.997214
86,417.518149,415.964518,411.025988
87,417.543909,415.989948,411.05015
88,417.569675,416.015255,411.074308
89,417.59821,416.043388,411.101066
90,417.622157,416.067027,411.12353
91,417.646106,416.090549,411.145985
92,417.672632,416.1167,411.170861
93,417.694915,416.138695,411.191764
94,417.71721,416.160594,411.212663
95,417.741897,416.184934,411.235814
96,417.762601,416.205371,411.255235
97,417.783338,416.225739,411.274679
98,417.806317,416.248394,411.296226
99,417.825602,416.267431,411.314316
100,417.844891,416.286376,411.332402
