time_s,Qsum_W
0.1,100.5964
0.2,183.20693
0.3,260.9705
0.4,325.76851
0.5,369.85144
0.6,397.41113
0.7,414.48602
0.8,424.50874
0.9,430.40912
1.0,433.8889
1.1,435.94176
1.2,437.15441
1.3,437.87077
1.4,438.29391
1.5,438.54429
1.6,438.69262
1.7,438.78045
1.8,438.83252
1.9,438.86337
2.0,438.88159
2.1,438.89237
2.2,438.89872
2.3,438.90248
2.4,438.90471
2.5,438.90602
2.6,438.90676
2.7,438.90722
2.8,438.90752
2.9,438.90773
3.0,438.90783
3.1,438.90792
3.2,438.90797
3.3,438.908
3.4,438.90801
3.5,438.90802
3.6,438.90802
3.7,438.90802
3.8,438.90802
3.9,438.90802
4.0,438.90802
4.1,438.90802
4.2,438.90802
4.3,438.90802
4.4,438.90802
4.5,438.90802
4.6,438.90802
4.7,438.90802
4.8,438.90802
4.9,438.90802
5.0,438.90802
5.1,438.90802
5.2,438.90802
5.3,438.90802
5.4,438.90802
5.5,438.90802
5.6,438.90802
5.7,438.90802
5.8,438.90802
5.9,438.90802
6.0,438.90802
6.1,438.90802
6.2,438.90802
6.3,438.90802
6.4,438.90802
6.5,438.90802
6.6,438.90802
6.7,438.90802
6.8,438.90802
6.9,438.90802
7.0,438.90802
7.1,438.90802
7.2,438.90802
7.3,438.90802
7.4,438.90802
7.5,438.90802
7.6,438.90802
7.7,438.90802
7.8,438.90802
7.9,438.90802
8.0,438.90802
