case,sensor,rmse_C,mae_C,bias_C,max_abs_error_C,final_error_C
case8,T1,0.113412,0.111827,0.111827,0.117788,0.117780
case8,T2,5.900276,5.643658,-5.643658,6.510473,-6.510473
case8,T3,2.715621,2.545547,-2.527263,3.081045,-3.081045
case8,T4,1.185316,1.104580,-1.036088,1.388204,-1.388204
case8,T5,0.584116,0.548928,-0.438492,0.691660,-0.691660
case8,T6,5.380981,5.026740,-5.026740,6.366381,-6.366381
case12,T1,0.044859,0.043615,-0.043615,0.048370,-0.048370
case12,T2,2.807725,2.685475,2.685475,3.194757,3.194757
case12,T3,1.665606,1.589613,1.589613,1.929425,1.929425
case12,T4,1.126819,1.076472,1.076472,1.321746,1.321746
case12,T5,0.893667,0.853819,0.853819,1.055990,1.055990
case12,T6,5.238503,4.900836,-4.900836,6.175531,-6.175531
