time,fluid_min_T,fluid_min_loc,fluid_max_T,fluid_max_loc,solid_min_T,solid_min_loc,solid_max_T,solid_max_loc
10.0,269.75,1 0.075 0.025,298.15,2 0.025 0.025,235.704,0.35 0.025 0.025,298.15,0 0.025 0.025
20.0,246.673,1 0.075 0.025,298.15,2 0.025 0.025,233.633,0.45 0.025 0.025,298.15,0 0.025 0.025
30.0,237.214,1 0.075 0.025,298.15,2 0.025 0.025,231.812,0.45 0.025 0.025,298.15,0 0.025 0.025
40.0,233.333,1 0.075 0.025,298.15,2 0.025 0.025,231.065,0.45 0.025 0.025,298.15,0 0.025 0.025
50.0,231.737,1 0.025 0.075,298.15,2 0.025 0.025,230.759,0.45 0.025 0.025,298.15,0 0.025 0.025
60.0,231.391,1 0.025 0.075,298.15,2 0.025 0.025,230.698,0.45 0.025 0.025,298.15,0 0.025 0.025
70.0,231.285,1 0.075 0.025,298.15,2 0.025 0.025,230.679,0.45 0.025 0.025,298.15,0 0.025 0.025
80.0,231.194,1 0.075 0.025,298.15,2 0.025 0.025,230.661,0.45 0.025 0.025,298.15,0 0.025 0.025
90.0,231.115,1 0.075 0.025,298.15,2 0.025 0.025,230.645,0.45 0.025 0.025,298.15,0 0.025 0.025
100.0,231.047,1 0.075 0.025,298.15,2 0.025 0.025,230.631,0.45 0.025 0.025,298.15,0 0.025 0.025
110.0,230.989,1 0.075 0.025,298.15,2 0.025 0.025,230.619,0.45 0.025 0.025,298.15,0 0.025 0.025
120.0,230.938,1 0.075 0.025,298.15,2 0.025 0.025,230.609,0.45 0.025 0.025,298.15,0 0.025 0.025
130.0,230.894,1 0.025 0.075,298.15,2 0.025 0.025,230.6,0.45 0.025 0.025,298.15,0 0.025 0.025
140.0,230.856,1 0.075 0.025,298.15,2 0.025 0.025,230.593,0.45 0.025 0.025,298.15,0 0.025 0.025
150.0,230.823,1 0.075 0.025,298.15,2 0.025 0.025,230.586,0.45 0.025 0.025,298.15,0 0.025 0.025
160.0,230.794,1 0.075 0.025,298.15,2 0.025 0.025,230.58,0.45 0.025 0.025,298.15,0 0.025 0.025
170.0,230.769,1 0.075 0.025,298.15,2 0.025 0.025,230.575,0.45 0.025 0.025,298.15,0 0.025 0.025
180.0,230.748,1 0.075 0.025,298.15,2 0.025 0.025,230.571,0.45 0.025 0.025,298.15,0 0.025 0.025
190.0,230.729,1 0.025 0.075,298.15,2 0.025 0.025,230.567,0.45 0.025 0.025,298.15,0 0.025 0.025
200.0,230.713,1 0.075 0.025,298.15,2 0.025 0.025,230.564,0.45 0.025 0.025,298.15,0 0.025 0.025
