time,probe0,probe1
1.0,298.15,298.15
2.0,298.149,298.15
3.0,298.1,298.15
4.0,297.825,298.15
5.0,297.086,298.15
6.0,295.765,298.149
7.0,293.911,298.146
8.0,291.68,298.139
9.0,289.244,298.122
10.0,286.735,298.091
11.0,284.235,298.04
12.0,281.787,297.962
13.0,279.411,297.854
14.0,277.121,297.712
15.0,274.925,297.533
16.0,272.828,297.316
17.0,270.833,297.061
18.0,268.94,296.767
19.0,267.148,296.436
20.0,265.455,296.069
21.0,263.855,295.667
22.0,262.347,295.233
23.0,260.925,294.767
24.0,259.585,294.273
25.0,258.324,293.752
26.0,257.136,293.207
27.0,256.018,292.639
28.0,254.965,292.05
29.0,253.974,291.444
30.0,253.041,290.82
31.0,252.162,290.183
32.0,251.333,289.532
33.0,250.553,288.87
34.0,249.816,288.198
35.0,249.121,287.519
36.0,248.464,286.832
37.0,247.844,286.14
38.0,247.257,285.444
39.0,246.702,284.745
40.0,246.176,284.043
41.0,245.677,283.341
42.0,245.203,282.638
43.0,244.753,281.936
44.0,244.325,281.235
45.0,243.918,280.536
46.0,243.529,279.84
47.0,243.159,279.147
48.0,242.805,278.457
49.0,242.467,277.772
50.0,242.143,277.091
51.0,241.832,276.416
52.0,241.535,275.745
53.0,241.249,275.081
54.0,240.974,274.422
55.0,240.709,273.769
56.0,240.454,273.122
57.0,240.208,272.482
58.0,239.971,271.849
59.0,239.741,271.223
60.0,239.519,270.603
61.0,239.305,269.99
62.0,239.096,269.385
63.0,238.894,268.787
64.0,238.698,268.195
65.0,238.508,267.612
66.0,238.323,267.035
67.0,238.143,266.466
68.0,237.967,265.903
69.0,237.796,265.349
70.0,237.63,264.801
71.0,237.467,264.26
72.0,237.308,263.727
73.0,237.153,263.201
74.0,237.002,262.682
75.0,236.854,262.17
76.0,236.709,261.666
77.0,236.567,261.168
78.0,236.429,260.677
79.0,236.293,260.193
80.0,236.16,259.716
81.0,236.029,259.245
82.0,235.901,258.781
83.0,235.776,258.324
84.0,235.653,257.873
85.0,235.532,257.429
86.0,235.413,256.991
87.0,235.297,256.559
88.0,235.183,256.134
89.0,235.07,255.714
90.0,234.96,255.301
91.0,234.852,254.894
92.0,234.745,254.493
93.0,234.641,254.097
94.0,234.538,253.708
95.0,234.437,253.324
96.0,234.337,252.945
97.0,234.239,252.572
98.0,234.143,252.205
99.0,234.048,251.843
100.0,233.955,251.487
101.0,233.864,251.135
102.0,233.773,250.789
103.0,233.685,250.448
104.0,233.598,250.112
105.0,233.512,249.781
106.0,233.427,249.455
107.0,233.344,249.134
108.0,233.262,248.817
109.0,233.181,248.505
110.0,233.102,248.198
111.0,233.024,247.896
112.0,232.947,247.597
113.0,232.871,247.304
114.0,232.797,247.014
115.0,232.723,246.729
116.0,232.651,246.448
117.0,232.58,246.172
118.0,232.509,245.899
119.0,232.44,245.631
120.0,232.372,245.366
121.0,232.305,245.105
122.0,232.239,244.849
123.0,232.175,244.596
124.0,232.111,244.347
125.0,232.048,244.101
126.0,231.986,243.86
127.0,231.924,243.622
128.0,231.864,243.387
129.0,231.805,243.156
130.0,231.747,242.928
131.0,231.689,242.704
132.0,231.632,242.483
133.0,231.577,242.265
134.0,231.522,242.051
135.0,231.468,241.84
136.0,231.414,241.632
137.0,231.362,241.427
138.0,231.31,241.225
139.0,231.259,241.026
140.0,231.209,240.83
141.0,231.16,240.637
142.0,231.111,240.447
143.0,231.063,240.26
144.0,231.016,240.075
145.0,230.969,239.894
146.0,230.923,239.715
147.0,230.878,239.538
148.0,230.834,239.365
149.0,230.79,239.194
150.0,230.747,239.025
151.0,230.704,238.859
152.0,230.662,238.695
153.0,230.621,238.534
154.0,230.581,238.376
155.0,230.541,238.219
156.0,230.501,238.065
157.0,230.462,237.913
158.0,230.424,237.764
159.0,230.386,237.617
160.0,230.349,237.472
161.0,230.313,237.329
162.0,230.277,237.188
163.0,230.241,237.05
164.0,230.206,236.913
165.0,230.172,236.778
166.0,230.138,236.646
167.0,230.104,236.515
168.0,230.072,236.387
169.0,230.039,236.26
170.0,230.007,236.135
171.0,229.976,236.012
172.0,229.945,235.891
173.0,229.914,235.772
174.0,229.884,235.655
175.0,229.855,235.539
176.0,229.825,235.425
177.0,229.797,235.313
178.0,229.768,235.202
179.0,229.74,235.093
180.0,229.713,234.986
181.0,229.686,234.88
182.0,229.659,234.776
183.0,229.633,234.673
184.0,229.607,234.572
185.0,229.582,234.472
186.0,229.557,234.374
187.0,229.532,234.278
188.0,229.507,234.182
189.0,229.483,234.089
190.0,229.46,233.996
191.0,229.437,233.905
192.0,229.414,233.816
193.0,229.391,233.727
194.0,229.369,233.64
195.0,229.347,233.555
196.0,229.325,233.47
197.0,229.304,233.387
198.0,229.283,233.305
199.0,229.262,233.225
200.0,229.242,233.145
