time,probe0,probe1,probe2
1.0,298.15,298.15,298.15
2.0,258.132,294.409,298.035
3.0,226.158,285.884,296.991
4.0,216.202,276.711,294.29
5.0,220.174,269.561,290.127
6.0,226.786,264.763,285.231
7.0,230.392,261.508,280.303
8.0,230.748,258.91,275.731
9.0,229.69,256.479,271.612
10.0,228.71,254.1,267.902
11.0,228.297,251.832,264.524
12.0,228.294,249.743,261.424
13.0,228.405,247.855,258.576
14.0,228.462,246.152,255.964
15.0,228.439,244.604,253.574
16.0,228.377,243.188,251.39
17.0,228.315,241.889,249.394
18.0,228.269,240.699,247.57
19.0,228.238,239.61,245.901
20.0,228.212,238.614,244.375
21.0,228.188,237.704,242.978
22.0,228.165,236.872,241.701
23.0,228.142,236.111,240.533
24.0,228.121,235.415,239.465
25.0,228.102,234.778,238.488
26.0,228.085,234.196,237.594
27.0,228.069,233.663,236.776
28.0,228.055,233.176,236.028
29.0,228.042,232.731,235.344
30.0,228.03,232.323,234.718
31.0,228.019,231.95,234.146
32.0,228.009,231.609,233.622
33.0,228.0,231.297,233.143
34.0,227.991,231.012,232.704
35.0,227.984,230.751,232.303
36.0,227.977,230.512,231.936
37.0,227.97,230.293,231.6
38.0,227.964,230.093,231.293
39.0,227.959,229.91,231.012
40.0,227.954,229.743,230.755
41.0,227.95,229.59,230.519
42.0,227.946,229.45,230.304
43.0,227.942,229.322,230.107
44.0,227.938,229.204,229.926
45.0,227.935,229.097,229.761
46.0,227.932,228.999,229.61
47.0,227.93,228.909,229.472
48.0,227.927,228.826,229.345
49.0,227.925,228.751,229.229
50.0,227.923,228.682,229.123
51.0,227.921,228.619,229.025
52.0,227.919,228.561,228.936
53.0,227.918,228.508,228.855
54.0,227.916,228.46,228.78
55.0,227.915,228.415,228.712
56.0,227.914,228.375,228.649
57.0,227.913,228.337,228.592
58.0,227.912,228.303,228.539
59.0,227.911,228.272,228.491
60.0,227.91,228.244,228.447
61.0,227.909,228.217,228.406
62.0,227.909,228.193,228.369
63.0,227.908,228.171,228.335
64.0,227.907,228.151,228.304
65.0,227.907,228.133,228.275
66.0,227.906,228.116,228.249
67.0,227.906,228.1,228.224
68.0,227.905,228.086,228.202
69.0,227.905,228.073,228.182
70.0,227.905,228.061,228.163
71.0,227.904,228.05,228.146
72.0,227.904,228.039,228.13
73.0,227.904,228.03,228.116
74.0,227.904,228.022,228.102
75.0,227.903,228.014,228.09
76.0,227.903,228.007,228.079
77.0,227.903,228.0,228.068
78.0,227.903,227.994,228.059
79.0,227.903,227.988,228.05
80.0,227.902,227.983,228.042
81.0,227.902,227.978,228.034
82.0,227.902,227.974,228.027
83.0,227.902,227.97,228.021
84.0,227.902,227.966,228.015
85.0,227.902,227.962,228.009
86.0,227.902,227.959,228.004
87.0,227.902,227.956,227.999
88.0,227.902,227.954,227.995
89.0,227.901,227.951,227.991
90.0,227.901,227.949,227.987
91.0,227.901,227.947,227.983
92.0,227.901,227.944,227.98
93.0,227.901,227.943,227.977
