time,probe0,probe1
1.0,298.15,298.15
2.0,298.149,298.15
3.0,298.101,298.15
4.0,297.83,298.15
5.0,297.108,298.149
6.0,295.827,298.146
7.0,294.045,298.136
8.0,291.912,298.112
9.0,289.586,298.067
10.0,287.185,297.989
11.0,284.785,297.873
12.0,282.429,297.712
13.0,280.14,297.504
14.0,277.933,297.247
15.0,275.817,296.942
16.0,273.797,296.593
17.0,271.876,296.202
18.0,270.053,295.773
19.0,268.328,295.311
20.0,266.697,294.82
21.0,265.157,294.305
22.0,263.705,293.771
23.0,262.336,293.22
24.0,261.048,292.658
25.0,259.836,292.088
26.0,258.695,291.513
27.0,257.623,290.936
28.0,256.614,290.36
29.0,255.666,289.787
30.0,254.776,289.219
31.0,253.939,288.659
32.0,253.152,288.108
33.0,252.413,287.566
34.0,251.719,287.037
35.0,251.067,286.519
36.0,250.454,286.014
37.0,249.878,285.523
38.0,249.336,285.047
39.0,248.828,284.584
40.0,248.35,284.137
41.0,247.9,283.704
42.0,247.478,283.286
43.0,247.081,282.883
44.0,246.708,282.495
45.0,246.357,282.122
46.0,246.027,281.763
47.0,245.717,281.418
48.0,245.425,281.087
49.0,245.151,280.77
50.0,244.893,280.465
51.0,244.65,280.174
52.0,244.422,279.896
53.0,244.207,279.629
54.0,244.172,279.586
55.0,244.138,279.543
56.0,244.104,279.5
57.0,244.071,279.458
58.0,244.038,279.416
59.0,244.005,279.375
60.0,243.972,279.333
61.0,243.94,279.292
62.0,243.908,279.252
63.0,243.877,279.211
64.0,243.846,279.171
65.0,243.815,279.131
66.0,243.784,279.092
67.0,243.754,279.053
68.0,243.724,279.014
69.0,243.694,278.975
70.0,243.665,278.937
71.0,243.636,278.899
72.0,243.607,278.861
73.0,243.579,278.824
74.0,243.55,278.787
75.0,243.522,278.75
76.0,243.495,278.714
77.0,243.468,278.677
78.0,243.44,278.642
79.0,243.414,278.606
80.0,243.387,278.571
81.0,243.361,278.535
82.0,243.335,278.501
83.0,243.309,278.466
84.0,243.284,278.432
85.0,243.259,278.398
86.0,243.234,278.364
87.0,243.209,278.331
88.0,243.184,278.298
89.0,243.16,278.265
90.0,243.136,278.232
91.0,243.113,278.2
92.0,243.089,278.168
93.0,243.066,278.136
94.0,243.043,278.104
95.0,243.02,278.073
96.0,242.998,278.042
97.0,242.975,278.011
98.0,242.953,277.98
99.0,242.931,277.95
100.0,242.91,277.92
101.0,242.888,277.89
102.0,242.867,277.86
103.0,242.846,277.831
104.0,242.825,277.802
105.0,242.805,277.773
106.0,242.784,277.744
107.0,242.764,277.716
108.0,242.744,277.688
109.0,242.724,277.66
110.0,242.705,277.632
111.0,242.685,277.604
112.0,242.666,277.577
113.0,242.647,277.55
114.0,242.628,277.523
115.0,242.61,277.497
116.0,242.591,277.47
117.0,242.573,277.444
118.0,242.555,277.418
119.0,242.537,277.392
120.0,242.519,277.367
121.0,242.502,277.342
122.0,242.484,277.316
123.0,242.467,277.292
124.0,242.45,277.267
125.0,242.433,277.242
126.0,242.417,277.218
127.0,242.4,277.194
128.0,242.384,277.17
129.0,242.368,277.146
130.0,242.352,277.123
131.0,242.336,277.1
132.0,242.32,277.077
133.0,242.304,277.054
134.0,242.289,277.031
135.0,242.274,277.009
136.0,242.259,276.986
137.0,242.244,276.964
138.0,242.229,276.942
139.0,242.214,276.921
140.0,242.2,276.899
141.0,242.185,276.878
142.0,242.171,276.856
143.0,242.157,276.835
144.0,242.143,276.815
145.0,242.129,276.794
146.0,242.116,276.773
147.0,242.102,276.753
148.0,242.089,276.733
149.0,242.076,276.713
150.0,242.062,276.693
151.0,242.049,276.674
152.0,242.037,276.654
153.0,242.024,276.635
154.0,242.011,276.616
155.0,241.999,276.597
156.0,241.986,276.578
157.0,241.974,276.559
158.0,241.962,276.541
159.0,241.95,276.523
160.0,241.938,276.504
161.0,241.926,276.486
162.0,241.915,276.469
163.0,241.903,276.451
164.0,241.892,276.433
165.0,241.88,276.416
166.0,241.869,276.399
167.0,241.858,276.382
168.0,241.847,276.365
169.0,241.836,276.348
170.0,241.826,276.331
171.0,241.815,276.315
172.0,241.804,276.298
173.0,241.794,276.282
174.0,241.784,276.266
175.0,241.773,276.25
176.0,241.763,276.234
177.0,241.753,276.219
178.0,241.743,276.203
179.0,241.733,276.188
180.0,241.724,276.173
181.0,241.714,276.158
182.0,241.704,276.143
183.0,241.695,276.128
184.0,241.686,276.113
185.0,241.676,276.098
186.0,241.667,276.084
187.0,241.658,276.07
188.0,241.649,276.055
189.0,241.64,276.041
190.0,241.631,276.027
191.0,241.623,276.013
192.0,241.614,276.0
193.0,241.605,275.986
194.0,241.597,275.973
195.0,241.588,275.959
196.0,241.58,275.946
197.0,241.572,275.933
198.0,241.564,275.92
199.0,241.556,275.907
200.0,241.548,275.894
