time,probe0,probe1,probe2
1.0,298.15,298.15,298.15
2.0,266.917,270.054,297.008
3.0,247.629,248.741,292.889
4.0,243.296,240.033,286.997
5.0,245.426,238.975,281.131
6.0,247.891,239.962,276.128
7.0,248.904,240.367,271.993
8.0,248.88,239.882,268.447
9.0,248.559,238.998,265.26
10.0,248.319,238.123,262.327
11.0,248.214,237.397,259.619
12.0,248.179,236.8,257.133
13.0,248.158,236.278,254.86
14.0,248.129,235.8,252.785
15.0,248.094,235.355,250.89
16.0,248.058,234.944,249.157
17.0,248.026,234.567,247.572
18.0,247.997,234.223,246.123
19.0,247.971,233.909,244.797
20.0,247.948,233.622,243.585
21.0,247.926,233.36,242.477
22.0,247.907,233.12,241.463
23.0,247.889,232.9,240.536
24.0,247.872,232.699,239.688
25.0,247.857,232.516,238.912
26.0,247.843,232.348,238.203
27.0,247.831,232.194,237.554
28.0,247.819,232.053,236.961
29.0,247.809,231.925,236.418
30.0,247.799,231.807,235.921
31.0,247.79,231.7,235.467
32.0,247.782,231.601,235.052
33.0,247.775,231.512,234.672
34.0,247.768,231.429,234.324
35.0,247.762,231.354,234.006
36.0,247.756,231.285,233.716
37.0,247.751,231.222,233.45
38.0,247.746,231.164,233.206
39.0,247.742,231.112,232.983
40.0,247.738,231.063,232.78
41.0,247.734,231.019,232.593
42.0,247.731,230.979,232.423
43.0,247.728,230.942,232.267
44.0,247.725,230.908,232.124
45.0,247.723,230.877,231.993
46.0,247.72,230.849,231.874
47.0,247.718,230.823,231.764
48.0,247.716,230.799,231.664
49.0,247.714,230.778,231.572
50.0,247.713,230.758,231.489
51.0,247.711,230.74,231.412
52.0,247.71,230.723,231.342
53.0,247.709,230.708,231.277
54.0,247.709,230.706,231.267
55.0,247.709,230.705,231.257
56.0,247.709,230.704,231.247
57.0,247.709,230.703,231.238
58.0,247.709,230.701,231.228
59.0,247.709,230.7,231.219
60.0,247.709,230.698,231.209
61.0,247.709,230.696,231.2
62.0,247.708,230.694,231.191
63.0,247.708,230.692,231.183
64.0,247.708,230.69,231.174
65.0,247.708,230.688,231.165
66.0,247.708,230.686,231.157
67.0,247.708,230.684,231.149
68.0,247.708,230.682,231.141
69.0,247.708,230.68,231.133
70.0,247.707,230.678,231.125
71.0,247.707,230.677,231.117
72.0,247.707,230.675,231.109
73.0,247.707,230.673,231.102
74.0,247.707,230.671,231.094
75.0,247.707,230.669,231.087
76.0,247.706,230.667,231.079
77.0,247.706,230.666,231.072
78.0,247.706,230.664,231.065
79.0,247.706,230.662,231.058
80.0,247.706,230.66,231.051
81.0,247.706,230.659,231.045
82.0,247.705,230.657,231.038
83.0,247.705,230.656,231.031
84.0,247.705,230.654,231.025
85.0,247.705,230.652,231.019
86.0,247.705,230.651,231.012
87.0,247.705,230.649,231.006
88.0,247.705,230.648,231.0
89.0,247.705,230.646,230.994
90.0,247.704,230.645,230.988
91.0,247.704,230.643,230.982
92.0,247.704,230.642,230.976
93.0,247.704,230.64,230.971
94.0,247.704,230.639,230.965
95.0,247.704,230.638,230.96
96.0,247.704,230.636,230.954
97.0,247.704,230.635,230.949
98.0,247.703,230.634,230.943
99.0,247.703,230.632,230.938
100.0,247.703,230.631,230.933
101.0,247.703,230.63,230.928
102.0,247.703,230.629,230.923
103.0,247.703,230.627,230.918
104.0,247.703,230.626,230.913
105.0,247.703,230.625,230.909
106.0,247.702,230.624,230.904
107.0,247.702,230.623,230.899
108.0,247.702,230.621,230.895
109.0,247.702,230.62,230.89
110.0,247.702,230.619,230.886
111.0,247.702,230.618,230.881
112.0,247.702,230.617,230.877
113.0,247.702,230.616,230.873
114.0,247.702,230.615,230.868
115.0,247.702,230.614,230.864
116.0,247.702,230.613,230.86
117.0,247.701,230.612,230.856
118.0,247.701,230.611,230.852
119.0,247.701,230.61,230.848
120.0,247.701,230.609,230.845
121.0,247.701,230.608,230.841
122.0,247.701,230.607,230.837
123.0,247.701,230.606,230.833
124.0,247.701,230.605,230.83
125.0,247.701,230.604,230.826
126.0,247.701,230.603,230.823
127.0,247.701,230.603,230.819
128.0,247.701,230.602,230.816
129.0,247.7,230.601,230.812
130.0,247.7,230.6,230.809
131.0,247.7,230.599,230.806
132.0,247.7,230.598,230.802
133.0,247.7,230.598,230.799
134.0,247.7,230.597,230.796
135.0,247.7,230.596,230.793
136.0,247.7,230.595,230.79
137.0,247.7,230.595,230.787
138.0,247.7,230.594,230.784
139.0,247.7,230.593,230.781
140.0,247.7,230.592,230.778
141.0,247.7,230.592,230.775
142.0,247.7,230.591,230.773
143.0,247.699,230.59,230.77
144.0,247.699,230.59,230.767
145.0,247.699,230.589,230.764
146.0,247.699,230.588,230.762
147.0,247.699,230.588,230.759
148.0,247.699,230.587,230.757
149.0,247.699,230.586,230.754
150.0,247.699,230.586,230.751
151.0,247.699,230.585,230.749
152.0,247.699,230.585,230.747
153.0,247.699,230.584,230.744
154.0,247.699,230.583,230.742
155.0,247.699,230.583,230.74
156.0,247.699,230.582,230.737
157.0,247.699,230.582,230.735
158.0,247.699,230.581,230.733
159.0,247.699,230.581,230.731
160.0,247.699,230.58,230.728
161.0,247.699,230.579,230.726
162.0,247.698,230.579,230.724
163.0,247.698,230.578,230.722
164.0,247.698,230.578,230.72
165.0,247.698,230.577,230.718
166.0,247.698,230.577,230.716
167.0,247.698,230.576,230.714
168.0,247.698,230.576,230.712
169.0,247.698,230.575,230.71
170.0,247.698,230.575,230.708
171.0,247.698,230.575,230.707
172.0,247.698,230.574,230.705
173.0,247.698,230.574,230.703
174.0,247.698,230.573,230.701
175.0,247.698,230.573,230.699
176.0,247.698,230.572,230.698
177.0,247.698,230.572,230.696
178.0,247.698,230.571,230.694
179.0,247.698,230.571,230.693
180.0,247.698,230.571,230.691
181.0,247.698,230.57,230.689
182.0,247.698,230.57,230.688
183.0,247.698,230.569,230.686
184.0,247.698,230.569,230.685
185.0,247.698,230.569,230.683
186.0,247.698,230.568,230.682
187.0,247.697,230.568,230.68
188.0,247.697,230.568,230.679
189.0,247.697,230.567,230.677
190.0,247.697,230.567,230.676
191.0,247.697,230.567,230.675
192.0,247.697,230.566,230.673
193.0,247.697,230.566,230.672
194.0,247.697,230.566,230.671
195.0,247.697,230.565,230.669
196.0,247.697,230.565,230.668
197.0,247.697,230.565,230.667
198.0,247.697,230.564,230.666
199.0,247.697,230.564,230.664
200.0,247.697,230.564,230.663
