time,probe0,probe1
1.0,298.15,298.15
2.0,298.149,298.15
3.0,298.101,298.15
4.0,297.83,298.15
5.0,297.109,298.15
6.0,295.832,298.149
7.0,294.053,298.146
8.0,291.923,298.139
9.0,289.599,298.123
10.0,287.2,298.093
11.0,284.801,298.043
12.0,282.444,297.969
13.0,280.155,297.865
14.0,277.948,297.728
15.0,275.832,297.557
16.0,273.812,297.348
17.0,271.89,297.103
18.0,270.067,296.821
19.0,268.34,296.503
20.0,266.708,296.15
21.0,265.167,295.764
22.0,263.713,295.346
23.0,262.342,294.899
24.0,261.051,294.424
25.0,259.835,293.923
26.0,258.691,293.398
27.0,257.613,292.852
28.0,256.599,292.286
29.0,255.644,291.702
30.0,254.744,291.103
31.0,253.897,290.489
32.0,253.099,289.863
33.0,252.347,289.226
34.0,251.637,288.58
35.0,250.967,287.926
36.0,250.335,287.265
37.0,249.737,286.599
38.0,249.172,285.929
39.0,248.637,285.256
40.0,248.13,284.581
41.0,247.649,283.905
42.0,247.193,283.229
43.0,246.759,282.553
44.0,246.347,281.878
45.0,245.955,281.205
46.0,245.581,280.535
47.0,245.224,279.868
48.0,244.883,279.204
49.0,244.557,278.544
50.0,244.245,277.889
51.0,243.946,277.239
52.0,243.659,276.594
53.0,243.384,275.954
54.0,243.119,275.319
55.0,242.864,274.691
56.0,242.619,274.069
57.0,242.382,273.452
58.0,242.153,272.843
59.0,241.933,272.24
60.0,241.719,271.643
61.0,241.512,271.054
62.0,241.312,270.471
63.0,241.117,269.895
64.0,240.928,269.325
65.0,240.745,268.763
66.0,240.567,268.208
67.0,240.393,267.66
68.0,240.224,267.119
69.0,240.06,266.585
70.0,239.899,266.057
71.0,239.743,265.537
72.0,239.59,265.024
73.0,239.441,264.517
74.0,239.295,264.018
75.0,239.153,263.525
76.0,239.013,263.039
77.0,238.877,262.56
78.0,238.743,262.087
79.0,238.612,261.621
80.0,238.484,261.162
81.0,238.359,260.709
82.0,238.235,260.262
83.0,238.115,259.822
84.0,237.996,259.388
85.0,237.88,258.96
86.0,237.766,258.538
87.0,237.654,258.123
88.0,237.544,257.713
89.0,237.436,257.31
90.0,237.329,256.912
91.0,237.225,256.52
92.0,237.123,256.134
93.0,237.022,255.753
94.0,236.923,255.378
95.0,236.825,255.008
96.0,236.73,254.644
97.0,236.635,254.285
98.0,236.543,253.931
99.0,236.452,253.583
100.0,236.362,253.24
101.0,236.274,252.902
102.0,236.187,252.568
103.0,236.102,252.24
104.0,236.018,251.917
105.0,235.935,251.598
106.0,235.854,251.284
107.0,235.774,250.975
108.0,235.695,250.67
109.0,235.617,250.37
110.0,235.541,250.074
111.0,235.465,249.783
112.0,235.391,249.495
113.0,235.318,249.213
114.0,235.247,248.934
115.0,235.176,248.66
116.0,235.106,248.389
117.0,235.038,248.123
118.0,234.97,247.861
119.0,234.904,247.602
120.0,234.838,247.347
121.0,234.774,247.097
122.0,234.71,246.849
123.0,234.648,246.606
124.0,234.586,246.366
125.0,234.526,246.13
126.0,234.466,245.897
127.0,234.407,245.668
128.0,234.349,245.442
129.0,234.292,245.22
130.0,234.236,245.0
131.0,234.181,244.785
132.0,234.126,244.572
133.0,234.072,244.362
134.0,234.019,244.156
135.0,233.967,243.953
136.0,233.916,243.752
137.0,233.865,243.555
138.0,233.816,243.361
139.0,233.767,243.169
140.0,233.718,242.981
141.0,233.671,242.795
142.0,233.624,242.612
143.0,233.578,242.432
144.0,233.532,242.254
145.0,233.487,242.079
146.0,233.443,241.907
147.0,233.4,241.737
148.0,233.357,241.57
149.0,233.315,241.405
150.0,233.274,241.243
151.0,233.233,241.083
152.0,233.192,240.926
153.0,233.153,240.77
154.0,233.114,240.618
155.0,233.075,240.467
156.0,233.037,240.319
157.0,233.0,240.173
158.0,232.963,240.029
159.0,232.927,239.887
160.0,232.891,239.748
161.0,232.856,239.61
162.0,232.821,239.475
163.0,232.787,239.341
164.0,232.754,239.21
165.0,232.721,239.08
166.0,232.688,238.953
167.0,232.656,238.827
168.0,232.624,238.703
169.0,232.593,238.581
170.0,232.562,238.461
171.0,232.532,238.343
172.0,232.502,238.226
173.0,232.473,238.111
174.0,232.444,237.998
175.0,232.416,237.887
176.0,232.388,237.777
177.0,232.36,237.669
178.0,232.333,237.563
179.0,232.306,237.458
180.0,232.279,237.354
181.0,232.253,237.253
182.0,232.228,237.152
183.0,232.203,237.053
184.0,232.178,236.956
185.0,232.153,236.86
186.0,232.129,236.766
187.0,232.105,236.673
188.0,232.082,236.581
189.0,232.059,236.491
190.0,232.036,236.402
191.0,232.014,236.315
192.0,231.992,236.228
193.0,231.97,236.143
194.0,231.948,236.06
195.0,231.927,235.977
196.0,231.907,235.896
197.0,231.886,235.816
198.0,231.866,235.737
199.0,231.846,235.659
200.0,231.827,235.583
