time,probe0,probe1,probe2
1.0,298.15,298.15,298.15
2.0,266.917,294.443,298.036
3.0,247.629,286.111,297.009
4.0,243.296,277.394,294.371
5.0,245.426,270.785,290.358
6.0,247.891,266.339,285.701
7.0,248.904,263.168,281.033
8.0,248.88,260.521,276.681
9.0,248.559,258.062,272.727
10.0,248.319,255.734,269.137
11.0,248.214,253.567,265.86
12.0,248.179,251.584,262.858
13.0,248.158,249.781,260.108
14.0,248.129,248.139,257.591
15.0,248.094,246.64,255.288
16.0,248.058,245.269,253.182
17.0,248.026,244.015,251.257
18.0,247.997,242.868,249.497
19.0,247.971,241.818,247.887
20.0,247.948,240.859,246.415
21.0,247.926,239.982,245.068
22.0,247.907,239.179,243.836
23.0,247.889,238.445,242.71
24.0,247.872,237.774,241.679
25.0,247.857,237.16,240.737
26.0,247.843,236.599,239.875
27.0,247.831,236.086,239.087
28.0,247.819,235.616,238.366
29.0,247.809,235.186,237.706
30.0,247.799,234.794,237.103
31.0,247.79,234.434,236.551
32.0,247.782,234.106,236.046
33.0,247.775,233.805,235.584
34.0,247.768,233.53,235.161
35.0,247.762,233.278,234.775
36.0,247.756,233.048,234.421
37.0,247.751,232.837,234.097
38.0,247.746,232.645,233.801
39.0,247.742,232.469,233.53
40.0,247.738,232.307,233.282
41.0,247.734,232.16,233.055
42.0,247.731,232.025,232.848
43.0,247.728,231.901,232.658
44.0,247.725,231.788,232.484
45.0,247.723,231.685,232.325
46.0,247.72,231.59,232.179
47.0,247.718,231.504,232.046
48.0,247.716,231.424,231.924
49.0,247.714,231.352,231.812
50.0,247.713,231.285,231.71
51.0,247.711,231.225,231.616
52.0,247.71,231.169,231.53
53.0,247.709,231.118,231.452
54.0,247.708,231.071,231.38
55.0,247.707,231.029,231.314
56.0,247.706,230.99,231.254
57.0,247.705,230.954,231.198
58.0,247.704,230.921,231.148
59.0,247.703,230.891,231.101
60.0,247.702,230.863,231.059
61.0,247.702,230.838,231.02
62.0,247.701,230.815,230.984
63.0,247.701,230.794,230.951
64.0,247.7,230.774,230.921
65.0,247.7,230.757,230.893
66.0,247.699,230.74,230.868
67.0,247.699,230.725,230.845
68.0,247.699,230.711,230.824
69.0,247.698,230.699,230.804
70.0,247.698,230.687,230.786
71.0,247.698,230.677,230.769
72.0,247.698,230.667,230.754
73.0,247.697,230.658,230.74
74.0,247.697,230.65,230.727
75.0,247.697,230.642,230.715
76.0,247.697,230.635,230.705
77.0,247.697,230.629,230.695
78.0,247.697,230.623,230.685
79.0,247.696,230.617,230.677
80.0,247.696,230.612,230.669
81.0,247.696,230.608,230.662
82.0,247.696,230.604,230.655
83.0,247.696,230.6,230.649
84.0,247.696,230.596,230.643
85.0,247.696,230.593,230.638
86.0,247.696,230.59,230.633
87.0,247.696,230.587,230.628
88.0,247.696,230.584,230.624
89.0,247.696,230.582,230.62
90.0,247.696,230.58,230.616
91.0,247.695,230.577,230.613
92.0,247.695,230.576,230.61
93.0,247.695,230.574,230.607
94.0,247.695,230.572,230.604
95.0,247.695,230.57,230.602
96.0,247.695,230.569,230.599
97.0,247.695,230.568,230.597
98.0,247.695,230.566,230.595
99.0,247.695,230.565,230.593
100.0,247.695,230.564,230.591
101.0,247.695,230.563,230.589
102.0,247.695,230.562,230.588
103.0,247.695,230.561,230.586
104.0,247.695,230.56,230.585
105.0,247.695,230.56,230.583
106.0,247.695,230.559,230.582
107.0,247.695,230.558,230.581
108.0,247.695,230.557,230.579
109.0,247.695,230.557,230.578
110.0,247.695,230.556,230.577
111.0,247.695,230.555,230.576
112.0,247.695,230.555,230.575
113.0,247.695,230.554,230.574
114.0,247.695,230.554,230.573
115.0,247.695,230.553,230.573
116.0,247.695,230.553,230.572
117.0,247.695,230.553,230.571
118.0,247.695,230.552,230.57
119.0,247.695,230.552,230.569
120.0,247.695,230.551,230.569
121.0,247.695,230.551,230.568
122.0,247.695,230.551,230.567
123.0,247.695,230.55,230.567
124.0,247.695,230.55,230.566
125.0,247.695,230.55,230.566
126.0,247.695,230.549,230.565
127.0,247.695,230.549,230.564
128.0,247.695,230.549,230.564
129.0,247.695,230.548,230.563
130.0,247.695,230.548,230.563
131.0,247.695,230.548,230.562
132.0,247.695,230.548,230.562
133.0,247.695,230.547,230.561
134.0,247.695,230.547,230.561
135.0,247.695,230.547,230.56
136.0,247.695,230.547,230.56
137.0,247.695,230.546,230.559
138.0,247.695,230.546,230.559
139.0,247.695,230.546,230.559
140.0,247.695,230.546,230.558
141.0,247.695,230.546,230.558
142.0,247.695,230.545,230.557
143.0,247.695,230.545,230.557
144.0,247.695,230.545,230.557
145.0,247.695,230.545,230.557
146.0,247.695,230.545,230.556
