time,probe0,probe1
1.0,298.15,298.15
2.0,298.151,298.15
3.0,298.2,298.15
4.0,298.513,298.15
5.0,299.535,298.15
6.0,301.918,298.151
7.0,306.524,298.155
8.0,314.487,298.165
9.0,327.334,298.193
10.0,347.155,298.255
11.0,376.85,298.378
12.0,420.47,298.605
13.0,483.689,298.998
14.0,574.469,299.649
15.0,703.995,300.688
16.0,887.984,302.299
17.0,1148.53,304.742
18.0,1516.69,308.386
19.0,2036.14,313.747
20.0,2768.27,321.551
21.0,3799.42,332.82
22.0,5250.97,348.99
23.0,7293.61,372.08
24.0,10167.3,404.926
25.0,14209.6,451.517
26.0,19894.9,517.461
27.0,27890.5,610.641
28.0,39134.5,742.141
29.0,54946.0,927.545
30.0,77179.9,1188.77
31.0,108444.0,1556.61
32.0,152406.0,2074.4
33.0,214223.0,2803.04
34.0,301144.0,3828.19
35.0,423365.0,5270.25
36.0,595221.0,7298.57
37.0,836869.0,10151.2
38.0,1176650.0,14163.0
39.0,1654420.0,19804.6
40.0,2326220.0,27738.0
41.0,3270830.0,38893.8
42.0,4599050.0,54580.7
43.0,6466670.0,76638.8
44.0,9092720.0,107655.0
45.0,12785200.0,151269.0
46.0,17977300.0,212594.0
47.0,25277800.0,298824.0
48.0,35543100.0,420073.0
49.0,49977100.0,590563.0
50.0,70272800.0,830289.0
51.0,98810600.0,1167370.0
52.0,138938000.0,1641340.0
53.0,195360000.0,2307790.0
54.0,274697000.0,3244880.0
55.0,386251000.0,4562540.0
56.0,543108000.0,6415290.0
57.0,763665000.0,9020460.0
58.0,1073790000.0,12683600.0
59.0,1509860000.0,17834300.0
60.0,2123010000.0,25076700.0
61.0,2985170000.0,35260300.0
62.0,4197450000.0,49579500.0
63.0,5902050000.0,69713800.0
64.0,8298880000.0,98024500.0
65.0,11669100000.0,137832000.0
66.0,16407900000.0,193806000.0
67.0,23071100000.0,272511000.0
68.0,32440400000.0,383178000.0
69.0,45614500000.0,538787000.0
70.0,64138500000.0,757589000.0
71.0,90185300000.0,1065250000.0
72.0,126810000000.0,1497840000.0
73.0,178307000000.0,2106120000.0
74.0,250718000000.0,2961420000.0
75.0,352535000000.0,4164060000.0
76.0,495700000000.0,5855090000.0
77.0,697004000000.0,8232850000.0
78.0,980059000000.0,11576200000.0
79.0,1378060000000.0,16277300000.0
80.0,1937700000000.0,22887600000.0
81.0,2724600000000.0,32182300000.0
82.0,3831060000000.0,45251500000.0
83.0,5386860000000.0,63628200000.0
84.0,7574470000000.0,89467700000.0
85.0,10650500000000.0,125801000000.0
86.0,14975600000000.0,176889000000.0
87.0,21057300000000.0,248723000000.0
88.0,29608600000000.0,349730000000.0
89.0,41632800000000.0,491756000000.0
90.0,58539900000000.0,691459000000.0
91.0,82313000000000.0,972261000000.0
92.0,115740000000000.0,1367100000000.0
93.0,162743000000000.0,1922280000000.0
94.0,228833000000000.0,2702920000000.0
95.0,321762000000000.0,3800580000000.0
96.0,452430000000000.0,5344000000000.0
97.0,636163000000000.0,7514200000000.0
98.0,894509000000000.0,10565700000000.0
99.0,1257770000000000.0,14856500000000.0
100.0,1768550000000000.0,20889700000000.0
101.0,2486770000000000.0,29373100000000.0
102.0,3496640000000000.0,41301500000000.0
103.0,4916640000000000.0,58074100000000.0
104.0,6913290000000000.0,81658100000000.0
105.0,9720790000000000.0,114820000000000.0
106.0,1.36684e+16,161448000000000.0
107.0,1.92192e+16,227012000000000.0
108.0,2.70241e+16,319202000000000.0
109.0,3.79986e+16,448830000000000.0
110.0,5.34299e+16,631101000000000.0
111.0,7.51279e+16,887392000000000.0
112.0,1.05637e+17,1247760000000000.0
113.0,1.48537e+17,1754480000000000.0
114.0,2.08858e+17,2466980000000000.0
115.0,2.93676e+17,3468820000000000.0
116.0,4.12938e+17,4877520000000000.0
117.0,5.80632e+17,6858280000000000.0
