time,probe0,probe1,probe2
1.0,298.15,298.15,298.15
2.0,329.383,301.857,298.264
3.0,375.677,313.361,299.386
4.0,437.843,334.531,303.06
5.0,521.644,368.201,311.037
6.0,636.017,418.861,325.366
7.0,793.65,493.102,348.701
8.0,1012.36,600.319,384.666
9.0,1317.18,753.769,438.312
10.0,1743.27,972.113,516.729
11.0,2340.03,1281.6,629.874
12.0,3176.92,1719.13,791.75
13.0,4351.6,2336.62,1022.04
14.0,6001.36,3207.04,1348.44
15.0,8319.23,4433.01,1809.86
16.0,11576.6,6158.82,2461.05
17.0,16155.2,8587.38,3378.96
18.0,22591.6,12004.0,4671.83
19.0,31640.3,16809.8,6491.82
20.0,44362.2,23568.9,9052.91
21.0,62249.3,33074.5,12656.0
22.0,87398.9,46441.8,17724.1
23.0,122761.0,65239.0,24852.1
24.0,172482.0,91671.1,34876.5
25.0,242394.0,128839.0,48973.4
26.0,340696.0,181101.0,68796.5
27.0,478917.0,254589.0,96671.4
28.0,673270.0,357921.0,135868.0
29.0,946548.0,503218.0,190983.0
30.0,1330800.0,707520.0,268482.0
31.0,1871110.0,994792.0,377454.0
32.0,2630830.0,1398730.0,530681.0
33.0,3699070.0,1966700.0,746136.0
34.0,5201120.0,2765330.0,1049090.0
35.0,7313170.0,3888280.0,1475070.0
36.0,10282900.0,5467260.0,2074040.0
37.0,14458700.0,7687480.0,2916260.0
38.0,20330200.0,10809300.0,4100510.0
39.0,28586200.0,15199000.0,5765680.0
40.0,40195000.0,21371200.0,8107090.0
41.0,56518000.0,30050100.0,11399300.0
42.0,79469900.0,42253400.0,16028600.0
43.0,111743000.0,59412500.0,22537800.0
44.0,157121000.0,83540000.0,31690300.0
45.0,220928000.0,117466000.0,44559800.0
46.0,310648000.0,165169000.0,62655500.0
47.0,436802000.0,232244000.0,88099900.0
48.0,614188000.0,326558000.0,123877000.0
49.0,863610000.0,459174000.0,174184000.0
50.0,1214320000.0,645645000.0,244920000.0
51.0,1707460000.0,907842000.0,344383000.0
52.0,2400860000.0,1276520000.0,484237000.0
53.0,3375860000.0,1794910000.0,680887000.0
54.0,4746800000.0,2523830000.0,957396000.0
55.0,6674480000.0,3548760000.0,1346200000.0
56.0,9384990000.0,4989920000.0,1892890000.0
57.0,13196200000.0,7016330000.0,2661590000.0
58.0,18555300000.0,9865680000.0,3742470000.0
59.0,26090600000.0,13872100000.0,5262290000.0
60.0,36686000000.0,19505600000.0,7399310000.0
61.0,51584200000.0,27426900000.0,10404200000.0
62.0,72532700000.0,38565000000.0,14629300000.0
63.0,101988000000.0,54226300000.0,20570300000.0
64.0,143406000000.0,76247700000.0,28924000000.0
65.0,201643000000.0,107212000000.0,40670000000.0
66.0,283531000000.0,150751000000.0,57186200000.0
67.0,398673000000.0,211971000000.0,80409600000.0
68.0,560575000000.0,298053000000.0,113064000000.0
69.0,788225000000.0,419092000000.0,158979000000.0
70.0,1108320000000.0,589286000000.0,223541000000.0
71.0,1558420000000.0,828596000000.0,314322000000.0
72.0,2191290000000.0,1165090000000.0,441968000000.0
73.0,3081180000000.0,1638240000000.0,621452000000.0
74.0,4332450000000.0,2303530000000.0,873824000000.0
75.0,6091860000000.0,3238990000000.0,1228690000000.0
76.0,8565770000000.0,4554350000000.0,1727660000000.0
77.0,12044300000000.0,6403880000000.0,2429260000000.0
78.0,16935600000000.0,9004500000000.0,3415790000000.0
79.0,23813100000000.0,12661200000000.0,4802940000000.0
80.0,33483700000000.0,17803000000000.0,6753420000000.0
81.0,47081400000000.0,25032800000000.0,9496000000000.0
82.0,66201300000000.0,35198700000000.0,13352300000000.0
83.0,93085700000000.0,49492900000000.0,18774700000000.0
84.0,130888000000000.0,69592000000000.0,26399200000000.0
85.0,184042000000000.0,97853400000000.0,37119900000000.0
86.0,258781000000000.0,137592000000000.0,52194400000000.0
87.0,363873000000000.0,193468000000000.0,73390600000000.0
88.0,511642000000000.0,272036000000000.0,103195000000000.0
89.0,719421000000000.0,382510000000000.0,145102000000000.0
90.0,1011580000000000.0,537848000000000.0,204028000000000.0
91.0,1422380000000000.0,756268000000000.0,286884000000000.0
92.0,2000010000000000.0,1063390000000000.0,403389000000000.0
93.0,2812220000000000.0,1495230000000000.0,567205000000000.0
94.0,3954270000000000.0,2102450000000000.0,797548000000000.0
95.0,5560100000000000.0,2956260000000000.0,1121430000000000.0
96.0,7818060000000000.0,4156800000000000.0,1576850000000000.0
97.0,1.0993e+16,5844880000000000.0,2217210000000000.0
98.0,1.54573e+16,8218490000000000.0,3117620000000000.0
99.0,2.17345e+16,1.1556e+16,4383690000000000.0
100.0,3.05609e+16,1.6249e+16,6163920000000000.0
101.0,4.29717e+16,2.28477e+16,8667090000000000.0
102.0,6.04226e+16,3.21262e+16,1.21868e+16
103.0,8.49602e+16,4.51726e+16,1.71359e+16
104.0,1.19463e+17,6.35173e+16,2.40948e+16
105.0,1.67977e+17,8.93118e+16,3.38797e+16
106.0,2.36192e+17,1.25581e+17,4.76383e+16
107.0,3.3211e+17,1.7658e+17,6.69843e+16
108.0,4.66981e+17,2.4829e+17,9.41867e+16
109.0,6.56622e+17,3.4912e+17,1.32436e+17
110.0,9.23277e+17,4.90899e+17,1.86219e+17
