time_s,Q_sum_check_W,Tavg_jellyRoll_K
0.119, 23.212303, NA
0.237, 33.860620, NA
0.356, 39.198605, NA
0.475, 42.309475, NA
9.616, 56.450018, NA
9.735, 56.408455, NA
9.854, 56.367203, NA
9.972, 56.326263, NA
10.091, 56.285635, NA
10.210, 56.245317, NA
10.329, 56.205309, NA
10.447, 56.165611, NA
19.589, 53.885718, NA
19.707, 53.864247, NA
19.826, 53.842942, NA
19.945, 53.821800, NA
20.063, 53.800821, NA
20.182, 53.780004, NA
20.301, 53.759346, NA
20.420, 53.738847, NA
29.561, 52.549231, NA
29.680, 52.537874, NA
29.798, 52.526601, NA
29.917, 52.515413, NA
30.036, 52.504307, NA
30.155, 52.493284, NA
30.273, 52.482343, NA
30.392, 52.471483, NA
39.533, 51.836845, NA
39.652, 51.830753, NA
39.771, 51.824706, NA
39.890, 51.818703, NA
40.008, 51.812745, NA
40.127, 51.806830, NA
40.246, 51.800959, NA
40.364, 51.795132, NA
40.483, 51.789347, NA
49.506, 51.454884, NA
49.624, 51.451632, NA
49.743, 51.448405, NA
49.862, 51.445202, NA
49.981, 51.442023, NA
50.099, 51.438869, NA
50.218, 51.435738, NA
50.337, 51.432631, NA
50.456, 51.429548, NA
59.597, 51.251444, NA
59.716, 51.249772, NA
59.834, 51.248113, NA
59.953, 51.246468, NA
60.072, 51.244836, NA
60.190, 51.243218, NA
60.309, 51.241613, NA
60.428, 51.240020, NA
69.569, 51.150403, NA
69.688, 51.149596, NA
69.807, 51.148796, NA
69.925, 51.148004, NA
70.044, 51.147219, NA
70.163, 51.146441, NA
70.282, 51.145671, NA
70.400, 51.144908, NA
79.542, 51.104410, NA
79.660, 51.104081, NA
79.779, 51.103755, NA
79.898, 51.103434, NA
80.017, 51.103117, NA
80.135, 51.102803, NA
80.254, 51.102494, NA
80.373, 51.102189, NA
80.491, 51.101888, NA
89.514, 51.088572, NA
89.633, 51.088501, NA
89.751, 51.088431, NA
89.870, 51.088364, NA
89.989, 51.088299, NA
90.108, 51.088236, NA
90.226, 51.088175, NA
90.345, 51.088116, NA
90.464, 51.088059, NA
99.605, 51.088752, NA
99.724, 51.088814, NA
99.843, 51.088876, NA
99.961, 51.088940, NA
100.080, 51.089005, NA
100.199, 51.089070, NA
100.317, 51.089137, NA
100.436, 51.089205, NA
109.578, 51.096788, NA
109.696, 51.096910, NA
109.815, 51.097032, NA
109.934, 51.097155, NA
110.052, 51.097278, NA
110.171, 51.097401, NA
110.290, 51.097525, NA
110.409, 51.097649, NA
119.550, 51.108069, NA
119.669, 51.108211, NA
119.787, 51.108354, NA
119.906, 51.108496, NA
120.025, 51.108639, NA
120.143, 51.108781, NA
120.262, 51.108924, NA
120.381, 51.109067, NA
120.500, 51.109210, NA
129.522, 51.120101, NA
129.641, 51.120243, NA
129.760, 51.120385, NA
129.878, 51.120526, NA
129.997, 51.120668, NA
130.116, 51.120809, NA
130.235, 51.120950, NA
130.353, 51.121091, NA
130.472, 51.121232, NA
139.613, 51.131719, NA
139.732, 51.131849, NA
139.851, 51.131979, NA
139.970, 51.132109, NA
140.088, 51.132239, NA
140.207, 51.132369, NA
140.326, 51.132498, NA
140.444, 51.132628, NA
149.586, 51.142036, NA
149.704, 51.142151, NA
149.823, 51.142265, NA
149.942, 51.142380, NA
150.061, 51.142494, NA
150.179, 51.142608, NA
150.298, 51.142722, NA
150.417, 51.142835, NA
159.558, 51.150980, NA
159.677, 51.151079, NA
159.796, 51.151176, NA
159.914, 51.151274, NA
160.033, 51.151372, NA
160.152, 51.151469, NA
160.270, 51.151566, NA
160.389, 51.151663, NA
169.531, 51.158548, NA
169.649, 51.158630, NA
169.768, 51.158712, NA
169.887, 51.158794, NA
170.005, 51.158875, NA
170.124, 51.158957, NA
170.243, 51.159038, NA
170.362, 51.159119, NA
170.480, 51.159200, NA
179.503, 51.164840, NA
179.622, 51.164908, NA
179.740, 51.164976, NA
179.859, 51.165043, NA
179.978, 51.165111, 334.047290
180.097, 51.165178, NA
180.215, 51.165245, NA
180.334, 51.165312, NA
180.453, 51.165378, NA
189.594, 51.170063, NA
189.713, 51.170118, NA
189.831, 51.170173, NA
189.950, 51.170228, NA
190.069, 51.170283, NA
190.188, 51.170337, NA
190.306, 51.170392, NA
190.425, 51.170446, NA
199.566, 51.174254, NA
199.685, 51.174299, NA
199.804, 51.174343, NA
199.923, 51.174388, NA
200.041, 51.174432, NA
200.160, 51.174477, NA
200.279, 51.174521, NA
200.397, 51.174565, NA
209.539, 51.177638, NA
209.657, 51.177674, NA
209.776, 51.177710, NA
209.895, 51.177746, NA
210.014, 51.177781, 334.110440
210.132, 51.177817, NA
210.251, 51.177853, NA
210.370, 51.177888, NA
210.489, 51.177923, NA
219.511, 51.180354, NA
