time_s,Q_sum_check_W,Tavg_jellyRoll_K
0.119, 23.210078, NA
0.237, 33.858396, NA
0.356, 39.196940, NA
0.475, 42.308370, NA
9.616, 56.450030, NA
9.735, 56.408467, NA
9.854, 56.367216, NA
9.972, 56.326276, NA
10.091, 56.285647, NA
10.210, 56.245329, NA
10.329, 56.205322, NA
10.447, 56.165623, NA
19.589, 53.885726, NA
19.707, 53.864255, NA
19.826, 53.842949, NA
19.945, 53.821808, NA
20.063, 53.800829, NA
20.182, 53.780011, NA
20.301, 53.759353, NA
20.420, 53.738855, NA
29.561, 52.549235, NA
29.680, 52.537878, NA
29.798, 52.526606, NA
29.917, 52.515417, NA
30.036, 52.504312, 326.645090
