time_s,Q_sum_check_W,Tavg_jellyRoll_K
0.119, 40.356009, NA
0.237, 40.356009, NA
0.356, 40.356009, NA
0.475, 46.258660, NA
9.616, 56.284577, NA
9.735, 56.245856, NA
9.854, 56.205306, NA
9.972, 56.164756, NA
10.091, 56.126951, NA
10.210, 56.087315, NA
10.329, 56.047680, NA
10.447, 56.010770, NA
19.589, 53.801173, NA
19.707, 53.781164, NA
19.826, 53.760171, NA
19.945, 53.739179, NA
20.063, 53.719625, NA
20.182, 53.699113, NA
20.301, 53.678600, NA
20.420, 53.659491, NA
29.561, 52.503821, NA
29.680, 52.493205, NA
29.798, 52.482085, NA
29.917, 52.470966, NA
30.036, 52.460583, 326.655070
