time,Tavg
0.0,313.15
1.0,399.672456
2.0,401.326595
3.0,402.576355
4.0,403.756596
5.0,404.919457
6.0,405.799699
7.0,406.611253
8.0,407.439424
9.0,408.063709
10.0,408.645911
11.0,409.237498
12.0,409.694205
13.0,410.11883
14.0,410.556175
15.0,410.897021
16.0,411.216981
17.0,411.55006
18.0,411.812609
19.0,412.061825
20.0,412.324008
21.0,412.53312
22.0,412.73371
23.0,412.946983
24.0,413.118848
25.0,413.285311
26.0,413.463963
27.0,413.609262
28.0,413.751144
29.0,413.904605
30.0,414.030376
31.0,414.153964
32.0,414.28849
33.0,414.399403
34.0,414.508921
35.0,414.628721
36.0,414.72793
37.0,414.826275
38.0,414.934156
39.0,415.02391
40.0,415.11306
41.0,415.211124
42.0,415.292854
43.0,415.374229
44.0,415.463925
45.0,415.538798
46.0,415.613426
47.0,415.695809
48.0,415.764658
49.0,415.83336
50.0,415.909258
51.0,415.972782
52.0,416.036158
53.0,416.106204
54.0,416.164905
55.0,416.223507
56.0,416.288328
57.0,416.342638
58.0,416.39686
59.0,416.456872
60.0,416.507155
61.0,416.557399
62.0,416.613018
63.0,416.659609
64.0,416.706189
65.0,416.757765
66.0,416.801001
67.0,416.844184
68.0,416.892025
69.0,416.93209
70.0,416.972205
71.0,417.016564
72.0,417.053812
73.0,417.091025
74.0,417.132252
75.0,417.166816
76.0,417.201357
77.0,417.239588
78.0,417.271721
79.0,417.303828
80.0,417.339338
81.0,417.369182
82.0,417.399
83.0,417.431985
84.0,417.459749
85.0,417.487467
86.0,417.518149
87.0,417.543909
88.0,417.569675
89.0,417.59821
90.0,417.622157
91.0,417.646106
92.0,417.672632
93.0,417.694915
94.0,417.71721
95.0,417.741897
96.0,417.762601
97.0,417.783338
98.0,417.806317
99.0,417.825602
100.0,417.844891
