time_s,Q_sum_check_W,Tavg_jellyRoll_K
10.000, 94.628077, NA
20.000, 92.251673, NA
30.000, 90.111529, 317.125440
40.000, 88.169460, NA
50.000, 86.398600, NA
60.000, 84.777732, 320.540480
70.000, 83.289361, NA
80.000, 81.918769, NA
90.000, 80.653414, 323.332380
100.000, 79.482496, NA
110.000, 78.396699, NA
120.000, 77.387912, 325.646520
130.000, 76.449020, NA
140.000, 75.573762, NA
150.000, 74.756599, 327.583690
160.000, 73.992616, NA
170.000, 73.277433, NA
180.000, 72.607135, 329.217620
190.000, 71.978209, NA
200.000, 71.387493, NA
210.000, 70.832134, 330.603930
220.000, 70.309550, NA
230.000, 69.817396, NA
240.000, 69.353542, 331.785640
250.000, 68.916041, NA
260.000, 68.503118, NA
270.000, 68.113143, 332.796650
280.000, 67.744622, NA
290.000, 67.396180, NA
300.000, 67.066552, 333.664180
