time_s,Q_sum_check_W,Tavg_jellyRoll_K
10.000, 92.583926, NA
20.000, 88.121185, NA
30.000, 84.284520, 320.867090
40.000, 80.942530, NA
50.000, 78.005681, NA
60.000, 75.406891, 327.098650
70.000, 73.094521, NA
80.000, 71.027371, NA
90.000, 69.171812, 331.932620
100.000, 67.500472, NA
110.000, 65.989807, NA
120.000, 64.620308, 335.746100
130.000, 63.375406, NA
140.000, 62.240780, NA
150.000, 61.204230, 338.789840
160.000, 60.255286, NA
170.000, 59.384740, NA
180.000, 58.584716, 341.241740
190.000, 57.848416, NA
200.000, 57.169796, NA
210.000, 56.543497, 343.229920
220.000, 55.964753, NA
230.000, 55.429339, NA
240.000, 54.933470, 344.849650
250.000, 54.473756, NA
260.000, 54.047153, NA
270.000, 53.650928, 346.174420
280.000, 53.282620, NA
290.000, 52.939994, NA
300.000, 52.621026, 347.261470
