time_s,Q_sum_check_W,Tavg_jellyRoll_K
0.023, 95.319495, NA
0.046, 95.306938, NA
0.069, 95.288139, NA
0.093, 95.266255, NA
0.116, 95.242866, NA
0.139, 95.218757, NA
0.162, 95.194323, NA
0.185, 95.169758, NA
0.208, 95.145160, NA
0.232, 95.120576, NA
0.255, 95.096029, NA
0.278, 95.071530, NA
0.301, 95.047084, NA
0.324, 95.022691, NA
0.347, 94.998354, NA
0.370, 94.974070, NA
0.394, 94.949841, NA
0.417, 94.925663, NA
0.440, 94.901538, NA
0.463, 94.877463, NA
0.486, 94.853438, NA
9.515, 87.469999, NA
9.538, 87.454549, NA
9.561, 87.439112, NA
9.584, 87.423688, NA
9.607, 87.408278, NA
9.630, 87.392882, NA
9.654, 87.377498, NA
9.677, 87.362128, NA
9.700, 87.346772, NA
9.723, 87.331429, NA
9.746, 87.316099, NA
9.769, 87.300783, NA
9.793, 87.285479, NA
9.816, 87.270189, NA
9.839, 87.254913, NA
9.862, 87.239649, NA
9.885, 87.224399, NA
9.908, 87.209162, NA
9.931, 87.193938, NA
9.955, 87.178728, NA
9.978, 87.163530, NA
10.001, 87.148346, NA
10.024, 87.133174, NA
10.047, 87.118016, NA
10.070, 87.102871, NA
10.093, 87.087739, NA
10.117, 87.072619, NA
10.140, 87.057513, NA
10.163, 87.042420, NA
10.186, 87.027340, NA
10.209, 87.012272, NA
10.232, 86.997218, NA
10.256, 86.982176, NA
10.279, 86.967147, NA
10.302, 86.952132, NA
10.325, 86.937129, NA
10.348, 86.922138, NA
10.371, 86.907161, NA
10.394, 86.892196, NA
10.418, 86.877244, NA
10.441, 86.862305, NA
10.464, 86.847379, NA
10.487, 86.832465, NA
19.516, 81.831502, NA
19.539, 81.820452, NA
19.562, 81.809410, NA
19.585, 81.798375, NA
19.608, 81.787349, NA
19.631, 81.776330, NA
19.654, 81.765318, NA
19.678, 81.754315, NA
19.701, 81.743319, NA
19.724, 81.732331, NA
19.747, 81.721350, NA
19.770, 81.710378, NA
19.793, 81.699412, NA
19.817, 81.688455, NA
19.840, 81.677505, NA
19.863, 81.666563, NA
19.886, 81.655628, NA
19.909, 81.644701, NA
19.932, 81.633782, NA
19.955, 81.622870, NA
19.979, 81.611965, NA
20.002, 81.601069, NA
20.025, 81.590180, NA
20.048, 81.579298, NA
20.071, 81.568424, NA
20.094, 81.557558, NA
20.118, 81.546699, NA
20.141, 81.535848, NA
20.164, 81.525004, NA
20.187, 81.514167, NA
20.210, 81.503339, NA
20.233, 81.492517, NA
20.256, 81.481703, NA
20.280, 81.470897, NA
20.303, 81.460098, NA
20.326, 81.449307, NA
20.349, 81.438523, NA
20.372, 81.427747, NA
20.395, 81.416977, NA
20.418, 81.406216, NA
20.442, 81.395462, NA
20.465, 81.384715, NA
20.488, 81.373976, NA
29.516, 77.682780, NA
29.540, 77.674440, NA
29.563, 77.666104, NA
29.586, 77.657773, NA
29.609, 77.649448, NA
29.632, 77.641127, NA
29.655, 77.632812, NA
29.679, 77.624501, NA
29.702, 77.616196, NA
29.725, 77.607896, NA
29.748, 77.599601, NA
29.771, 77.591310, NA
29.794, 77.583025, NA
29.817, 77.574745, NA
29.841, 77.566470, NA
29.864, 77.558200, NA
29.887, 77.549935, NA
29.910, 77.541675, NA
29.933, 77.533420, NA
29.956, 77.525169, NA
29.979, 77.516924, NA
30.003, 77.508684, 324.643390
30.026, 77.500449, NA
30.049, 77.492219, NA
30.072, 77.483994, NA
30.095, 77.475774, NA
30.118, 77.467559, NA
30.142, 77.459349, NA
30.165, 77.451143, NA
30.188, 77.442943, NA
30.211, 77.434748, NA
30.234, 77.426557, NA
30.257, 77.418372, NA
30.280, 77.410191, NA
30.304, 77.402016, NA
30.327, 77.393845, NA
30.350, 77.385680, NA
30.373, 77.377519, NA
30.396, 77.369363, NA
30.419, 77.361212, NA
30.442, 77.353066, NA
30.466, 77.344925, NA
30.489, 77.336789, NA
39.517, 74.499819, NA
39.541, 74.493320, NA
39.564, 74.486825, NA
39.587, 74.480334, NA
39.610, 74.473846, NA
39.633, 74.467362, NA
39.656, 74.460881, NA
39.679, 74.454404, NA
39.703, 74.447930, NA
39.726, 74.441460, NA
39.749, 74.434994, NA
39.772, 74.428531, NA
39.795, 74.422071, NA
39.818, 74.415615, NA
39.841, 74.409163, NA
39.865, 74.402714, NA
39.888, 74.396269, NA
39.911, 74.389827, NA
39.934, 74.383389, NA
39.957, 74.376954, NA
39.980, 74.370523, NA
40.004, 74.364095, NA
40.027, 74.357671, NA
40.050, 74.351251, NA
40.073, 74.344834, NA
40.096, 74.338420, NA
40.119, 74.332010, NA
40.142, 74.325604, NA
40.166, 74.319201, NA
40.189, 74.312801, NA
40.212, 74.306405, NA
40.235, 74.300013, NA
40.258, 74.293623, NA
40.281, 74.287238, NA
40.304, 74.280856, NA
40.328, 74.274477, NA
40.351, 74.268102, NA
40.374, 74.261731, NA
40.397, 74.255363, NA
40.420, 74.248998, NA
40.443, 74.242637, NA
40.467, 74.236279, NA
40.490, 74.229925, NA
49.518, 71.992880, NA
49.541, 71.987708, NA
49.565, 71.982538, NA
49.588, 71.977371, NA
49.611, 71.972207, NA
49.634, 71.967045, NA
49.657, 71.961886, NA
49.680, 71.956730, NA
49.703, 71.951576, NA
49.727, 71.946425, NA
49.750, 71.941277, NA
49.773, 71.936131, NA
49.796, 71.930988, NA
49.819, 71.925847, NA
49.842, 71.920709, NA
