time_s,Q_sum_check_W,Tavg_jellyRoll_K
10.000, 89.683146, NA
20.000, 88.353004, NA
30.000, 87.034663, NA
40.000, 85.784730, NA
50.000, 84.614595, 318.726150
60.000, 83.522772, NA
70.000, 82.504243, NA
80.000, 81.553468, NA
90.000, 80.665178, NA
100.000, 79.834477, 322.906590
110.000, 79.056877, NA
120.000, 78.328290, NA
130.000, 77.644987, NA
140.000, 77.003571, NA
150.000, 76.400943, 326.019400
160.000, 75.834274, NA
170.000, 75.300983, NA
180.000, 74.798707, NA
190.000, 74.325289, NA
200.000, 73.878750, 328.389810
210.000, 73.457278, NA
220.000, 73.059207, NA
230.000, 72.683009, NA
240.000, 72.327274, NA
250.000, 71.990705, 330.220530
260.000, 71.672104, NA
270.000, 71.370364, NA
280.000, 71.084461, NA
290.000, 70.813445, NA
300.000, 70.556436, 331.647300
310.000, 70.312615, NA
320.000, 70.081220, NA
330.000, 69.861542, NA
340.000, 69.652921, NA
350.000, 69.454737, 332.765910
360.000, 69.266416, NA
370.000, 69.087415, NA
380.000, 68.917231, NA
390.000, 68.755388, NA
400.000, 68.601442, 333.646470
410.000, 68.454976, NA
420.000, 68.315596, NA
430.000, 68.182934, NA
440.000, 68.056641, NA
450.000, 67.936392, 334.341620
460.000, 67.821876, NA
470.000, 67.712803, NA
480.000, 67.608898, NA
490.000, 67.509901, NA
500.000, 67.415569, 334.891550
510.000, 67.325668, NA
520.000, 67.239979, NA
530.000, 67.158296, NA
540.000, 67.080422, NA
550.000, 67.006170, 335.327310
560.000, 66.935366, NA
570.000, 66.867842, NA
580.000, 66.803439, NA
590.000, 66.742008, NA
600.000, 66.683406, 335.673040
610.000, 66.627499, NA
620.000, 66.574157, NA
630.000, 66.523259, NA
640.000, 66.474689, NA
650.000, 66.428337, 335.947640
660.000, 66.384099, NA
670.000, 66.341876, NA
680.000, 66.301573, NA
690.000, 66.263100, NA
700.000, 66.226372, 336.165950
710.000, 66.191307, NA
720.000, 66.157829, NA
730.000, 66.125864, NA
740.000, 66.095342, NA
750.000, 66.066196, 336.339640
760.000, 66.038363, NA
770.000, 66.011782, NA
780.000, 65.986395, NA
790.000, 65.962149, NA
800.000, 65.938991, 336.477930
810.000, 65.916870, NA
820.000, 65.895740, NA
830.000, 65.875555, NA
840.000, 65.856273, NA
850.000, 65.837852, 336.588110
860.000, 65.820253, NA
870.000, 65.803439, NA
880.000, 65.787374, NA
890.000, 65.772025, NA
900.000, 65.757359, 336.675940
910.000, 65.743344, NA
920.000, 65.729953, NA
930.000, 65.717156, NA
940.000, 65.704927, NA
950.000, 65.693241, 336.745990
960.000, 65.682072, NA
970.000, 65.671398, NA
980.000, 65.661197, NA
990.000, 65.651446, NA
1000.000, 65.642127, 336.801890
