time_s,Q_sum_check_W,Tavg_jellyRoll_K
10.000, 95.972910, NA
20.000, 95.055154, NA
30.000, 94.181014, 314.653660
40.000, 93.345422, NA
50.000, 92.544841, NA
60.000, 91.776437, 316.100910
70.000, 91.037833, NA
80.000, 90.326960, NA
90.000, 89.641994, 317.417810
100.000, 88.981310, NA
110.000, 88.343454, NA
120.000, 87.727117, 318.626310
130.000, 87.131108, NA
140.000, 86.554343, NA
150.000, 85.995829, 319.741950
160.000, 85.454651, NA
170.000, 84.929967, NA
180.000, 84.420997, 320.776520
190.000, 83.927019, NA
200.000, 83.447358, NA
210.000, 82.981387, 321.739350
220.000, 82.528518, NA
230.000, 82.088201, NA
240.000, 81.659919, 322.638040
250.000, 81.243189, NA
260.000, 80.837552, NA
270.000, 80.442579, 323.478930
280.000, 80.057863, NA
290.000, 79.683019, NA
300.000, 79.317684, 324.267390
