time_s,Q_sum_check_W,Tavg_jellyRoll_K
0.006, 95.293909, NA
0.012, 95.290603, NA
0.018, 95.285648, NA
0.024, 95.279873, NA
0.030, 95.273693, NA
0.036, 95.267314, NA
0.042, 95.260839, NA
0.048, 95.254321, NA
0.054, 95.247784, NA
0.060, 95.241243, NA
0.066, 95.234702, NA
0.072, 95.228165, NA
0.078, 95.221633, NA
0.083, 95.215107, NA
0.089, 95.208588, NA
0.095, 95.202074, NA
0.101, 95.195567, NA
0.107, 95.189066, NA
0.113, 95.182571, NA
0.119, 95.176083, NA
0.125, 95.169600, NA
0.131, 95.163122, NA
0.137, 95.156651, NA
0.143, 95.150184, NA
0.149, 95.143724, NA
0.155, 95.137269, NA
0.161, 95.130819, NA
0.167, 95.124374, NA
0.173, 95.117934, NA
0.179, 95.111500, NA
0.185, 95.105070, NA
0.191, 95.098646, NA
0.197, 95.092226, NA
0.203, 95.085811, NA
0.209, 95.079401, NA
0.215, 95.072996, NA
0.221, 95.066595, NA
0.227, 95.060199, NA
0.233, 95.053807, NA
0.239, 95.047420, NA
0.244, 95.041037, NA
0.250, 95.034659, NA
0.256, 95.028285, NA
0.262, 95.021916, NA
0.268, 95.015550, NA
0.274, 95.009189, NA
0.280, 95.002832, NA
0.286, 94.996480, NA
0.292, 94.990131, NA
0.298, 94.983787, NA
0.304, 94.977446, NA
0.310, 94.971110, NA
0.316, 94.964778, NA
0.322, 94.958449, NA
0.328, 94.952125, NA
0.334, 94.945804, NA
0.340, 94.939488, NA
0.346, 94.933175, NA
0.352, 94.926866, NA
0.358, 94.920561, NA
0.364, 94.914259, NA
0.370, 94.907962, NA
0.376, 94.901668, NA
0.382, 94.895377, NA
0.388, 94.889091, NA
0.394, 94.882808, NA
0.400, 94.876528, NA
0.405, 94.870253, NA
0.411, 94.863980, NA
0.417, 94.857712, NA
0.423, 94.851447, NA
0.429, 94.845185, NA
0.435, 94.838927, NA
0.441, 94.832673, NA
0.447, 94.826422, NA
0.453, 94.820174, NA
0.459, 94.813930, NA
0.465, 94.807689, NA
0.471, 94.801451, NA
0.477, 94.795217, NA
0.483, 94.788987, NA
0.489, 94.782759, NA
0.495, 94.776535, NA
9.505, 87.404450, NA
9.511, 87.400487, NA
9.517, 87.396525, NA
9.523, 87.392564, NA
9.529, 87.388604, NA
9.535, 87.384644, NA
9.541, 87.380686, NA
9.547, 87.376729, NA
9.553, 87.372772, NA
9.559, 87.368816, NA
9.565, 87.364862, NA
9.571, 87.360908, NA
9.577, 87.356955, NA
9.583, 87.353003, NA
9.589, 87.349052, NA
9.595, 87.345101, NA
9.601, 87.341152, NA
9.607, 87.337204, NA
9.613, 87.333256, NA
9.619, 87.329309, NA
9.625, 87.325364, NA
9.631, 87.321419, NA
9.637, 87.317475, NA
9.642, 87.313532, NA
9.648, 87.309590, NA
9.654, 87.305648, NA
9.660, 87.301708, NA
9.666, 87.297769, NA
9.672, 87.293830, NA
9.678, 87.289892, NA
9.684, 87.285956, NA
9.690, 87.282020, NA
9.696, 87.278085, NA
9.702, 87.274151, NA
9.708, 87.270218, NA
9.714, 87.266285, NA
9.720, 87.262354, NA
9.726, 87.258423, NA
9.732, 87.254494, NA
9.738, 87.250565, NA
9.744, 87.246637, NA
9.750, 87.242710, NA
9.756, 87.238784, NA
9.762, 87.234859, NA
9.768, 87.230935, NA
9.774, 87.227012, NA
9.780, 87.223089, NA
9.786, 87.219168, NA
9.792, 87.215247, NA
9.798, 87.211327, NA
9.804, 87.207408, NA
9.809, 87.203490, NA
9.815, 87.199573, NA
9.821, 87.195657, NA
9.827, 87.191741, NA
9.833, 87.187827, NA
9.839, 87.183913, NA
9.845, 87.180001, NA
9.851, 87.176089, NA
9.857, 87.172178, NA
9.863, 87.168268, NA
9.869, 87.164359, NA
9.875, 87.160450, NA
9.881, 87.156543, NA
9.887, 87.152636, NA
9.893, 87.148731, NA
9.899, 87.144826, NA
9.905, 87.140922, NA
9.911, 87.137019, NA
9.917, 87.133117, NA
9.923, 87.129216, NA
9.929, 87.125316, NA
9.935, 87.121416, NA
9.941, 87.117518, NA
9.947, 87.113620, NA
9.953, 87.109723, NA
9.959, 87.105827, NA
9.965, 87.101932, NA
9.970, 87.098038, NA
9.976, 87.094145, NA
9.982, 87.090252, NA
9.988, 87.086361, NA
9.994, 87.082470, NA
10.000, 87.078580, NA
10.006, 87.074691, NA
10.012, 87.070803, NA
10.018, 87.066916, NA
10.024, 87.063030, NA
10.030, 87.059144, NA
10.036, 87.055260, NA
10.042, 87.051376, NA
10.048, 87.047493, NA
10.054, 87.043611, NA
10.060, 87.039730, NA
10.066, 87.035850, NA
10.072, 87.031971, NA
10.078, 87.028092, NA
10.084, 87.024215, NA
10.090, 87.020338, NA
10.096, 87.016462, NA
10.102, 87.012587, NA
10.108, 87.008713, NA
10.114, 87.004840, NA
10.120, 87.000968, NA
10.126, 86.997096, NA
10.131, 86.993226, NA
10.137, 86.989356, NA
10.143, 86.985487, NA
10.149, 86.981619, NA
10.155, 86.977752, NA
10.161, 86.973886, NA
10.167, 86.970020, NA
10.173, 86.966156, NA
10.179, 86.962292, NA
10.185, 86.958429, NA
10.191, 86.954568, NA
10.197, 86.950706, NA
10.203, 86.946846, NA
10.209, 86.942987, NA
10.215, 86.939128, NA
10.221, 86.935271, NA
10.227, 86.931414, NA
10.233, 86.927558, NA
10.239, 86.923703, NA
10.245, 86.919849, NA
10.251, 86.915996, NA
10.257, 86.912143, NA
10.263, 86.908292, NA
10.269, 86.904441, NA
10.275, 86.900591, NA
10.281, 86.896742, NA
10.287, 86.892894, NA
10.292, 86.889047, NA
10.298, 86.885200, NA
10.304, 86.881355, NA
10.310, 86.877510, NA
10.316, 86.873666, NA
10.322, 86.869823, NA
10.328, 86.865981, NA
10.334, 86.862140, NA
10.340, 86.858299, NA
10.346, 86.854460, NA
10.352, 86.850621, NA
10.358, 86.846783, NA
10.364, 86.842946, NA
10.370, 86.839110, NA
10.376, 86.835275, NA
10.382, 86.831440, NA
10.388, 86.827607, NA
10.394, 86.823774, NA
10.400, 86.819942, NA
10.406, 86.816111, NA
10.412, 86.812281, NA
10.418, 86.808452, NA
10.424, 86.804623, NA
10.430, 86.800796, NA
10.436, 86.796969, NA
10.442, 86.793143, NA
10.448, 86.789318, NA
10.453, 86.785494, NA
10.459, 86.781670, NA
10.465, 86.777848, NA
10.471, 86.774026, NA
10.477, 86.770205, NA
10.483, 86.766385, NA
10.489, 86.762566, NA
10.495, 86.758748, NA
