time_s,JR_mean_T_K,JR_max_T_K,JR_probe_centerline_T_K,JR_probe_radial_edge_T_K,JR_probe_axial_bottom_T_K,JR_probe_axial_top_T_K,Can_mean_T_K,Can_wall_probe_T_K,top_end_T_K,bottom_end_T_K,total_stored_energy_J_rel_t0,total_boundary_heat_loss_J_cumulative,wallheatflux_raw_W_DIAGNOSTIC_ONLY
0.05,298.152815,298.152876,298.15288,298.15223,298.15227,298.15287,298.151766,298.15185,298.15,298.15094,0.0,0.1623599325,-0.001317016542009
0.1,298.155616,298.155753,298.15575,298.15448,298.15427,298.15574,298.153856,298.15403,298.15,298.15218,0.16699908433265973,0.15772078066734027,-0.0028757355504249998
0.15,298.15841,298.158629,298.15863,298.15681,298.1562,298.1586,298.156062,298.15633,298.15,298.15358,0.3341128935786073,0.15296690392139262,-0.00452140948483
0.2,298.161199,298.161505,298.16151,298.15919,298.1581,298.16147,298.158336,298.1587,298.15,298.1551,0.5012644666589304,0.14817526334106956,-0.0062183005408599995
0.25,298.163985,298.164381,298.16438,298.16162,298.16001,298.16432,298.160658,298.16111,298.15,298.15671,0.6684310985740987,0.14336856392590125,-0.00795140431877
0.3,298.166768,298.167258,298.16726,298.16408,298.16194,298.16718,298.163017,298.16356,298.15,298.1584,0.8356017503090214,0.13855784469097843,-0.009711982129180001
0.35,298.169549,298.170134,298.17013,298.16657,298.16389,298.17003,298.165404,298.16604,298.15,298.16014,1.0027699599085078,0.13374956759149192,-0.01149427892193
0.4,298.172328,298.17301,298.17301,298.16908,298.16586,298.17288,298.167814,298.16854,298.15,298.16194,1.1699317332851717,0.12894772671482824,-0.01329427019443
0.45,298.175104,298.175886,298.17589,298.17161,298.16785,298.17573,298.170244,298.17107,298.15,298.16377,1.3370845336344062,0.12415485886559363,-0.0151090210577
0.5,298.17788,298.178762,298.17876,298.17416,298.16987,298.17858,298.172691,298.1736,298.15,298.16565,1.5042267139540118,0.11937261104598806,-0.016936318169099997
0.55,298.180654,298.181638,298.18164,298.17672,298.1719,298.18143,298.175151,298.17615,298.15,298.16756,1.671357189856731,0.11460206764326886,-0.0187744450027
0.6,298.183426,298.184514,298.18451,298.17928,298.17395,298.18427,298.177624,298.17872,298.15,298.1695,1.838475244912387,0.10984394508761275,-0.020622039199300002
0.65,298.186197,298.18739,298.18739,298.18186,298.17602,298.18711,298.180108,298.18129,298.15,298.17146,2.0055804000332755,0.10509872246672414,-0.0224779983022
0.7,298.188968,298.190266,298.19027,298.18445,298.1781,298.18995,298.182601,298.18387,298.15,298.17346,2.172672342922222,0.10036671207777736,-0.0243414153844
0.75,298.191737,298.193142,298.19314,298.18705,298.1802,298.19279,298.185103,298.18646,298.15,298.17547,2.339750866800477,0.09564812069952255,-0.0262115333687
0.8,298.194505,298.196018,298.19602,298.18966,298.18232,298.19563,298.187613,298.18906,298.15,298.1775,2.5068158452265634,0.09094307477343655,-0.0280877131435
0.85,298.197272,298.198894,298.19889,298.19227,298.18445,298.19846,298.19013,298.19167,298.15,298.17955,2.6738672094181775,0.08625164308182232,-0.029969408875300002
0.9,298.200039,298.20177,298.20177,298.19489,298.18659,298.2013,298.192653,298.19428,298.15,298.18162,2.8409049208471417,0.08157386415285783,-0.0318561500176
0.95,298.202805,298.204646,298.20465,298.19751,298.18874,298.20413,298.195182,298.1969,298.15,298.18371,3.0079289995315297,0.07690971796846968,-0.033747527719600004
1.0,298.205569,298.207522,298.20752,298.20014,298.19091,298.20697,298.197717,298.19952,298.15,298.18581,3.1749394362979695,0.07225921370203015,-0.0356431839316
1.05,298.208333,298.210397,298.2104,298.20277,298.19308,298.2098,298.200256,298.20215,298.15,298.18793,3.3419362783950177,0.06762230410498216,-0.0375428032103
1.1,298.211097,298.213273,298.21327,298.20541,298.19527,298.21263,298.2028,298.20478,298.15,298.19006,3.50891953618509,0.0629989788149099,-0.0394461055228
