id,filename,base_sha256,sha256,changed_fields,sep_feed_mm,sep_tail_mm,overlap_start_mm,overlap_end_mm,mandrel_width_mm,jr_width_mm,package_int_height_mm,separator_width_mm,negative_width_mm,positive_width_mm,package_minus_separator_mm,package_minus_negative_mm,package_minus_positive_mm,expected_purpose,runtime_result,runtime_error_class,runtime_notes
C00,C00_SIEMENS_CONTROL_validationBattery.tbm,N/A — Siemens install reference,82aa9daa6a7e9a4218bb8eb5e3aad2fdfb299a3031deede89523715a542dffee,N/A — unmodified Siemens reference,N/A,N/A,N/A,N/A,N/A,N/A,65.11,67.11,65.11,64.11,-2.0,0.0,1.0,Environment/import-path control. Proves Robert's STAR install and Create from Tbm workflow import a known Siemens cylindrical TBM.,,,
C01,C01_FEED10.tbm,2c89d2d9a60e5be6a40ca48fcf29e1075fd67b2764e94436c7c9af1119063ea5,912db12a2183209f2ad4f49c776b176765db6b82cfa8367c532b08ddd62732c7,m_dSepFeedLength_mm: 0 -> 10,10,0,8,20,6,0,65.11,67.11,65.11,64.11,-2.0,0.0,1.0,Isolate separator feed length: feed=10 alone vs E004.,,,
C02,C02_TAIL85.tbm,2c89d2d9a60e5be6a40ca48fcf29e1075fd67b2764e94436c7c9af1119063ea5,7596ff01f4f43218ba60484b53b59cd9d52994ff8f9735d50621b27c57ad449a,m_dSepTailLength_mm: 0 -> 85,0,85,8,20,6,0,65.11,67.11,65.11,64.11,-2.0,0.0,1.0,Isolate separator tail length: tail=85 alone vs E004.,,,
C03,C03_FEED10_TAIL85.tbm,2c89d2d9a60e5be6a40ca48fcf29e1075fd67b2764e94436c7c9af1119063ea5,bf0d6c3e5c22cd3f07a48a2b57be56b1dae36f174610ed648fc36dcdacb80b53,m_dSepFeedLength_mm: 0 -> 10; m_dSepTailLength_mm: 0 -> 85,10,85,8,20,6,0,65.11,67.11,65.11,64.11,-2.0,0.0,1.0,H004-5 leading hypothesis: combined feed+tail.,,,
C04,C04_END40.tbm,2c89d2d9a60e5be6a40ca48fcf29e1075fd67b2764e94436c7c9af1119063ea5,6e737ca16035da37aa2118f700e38a004f500a17cfebff31368d72e96f82ce80,m_dElectrodeOverlapAtEnd_mm: 20 -> 40,0,0,8,40,6,0,65.11,67.11,65.11,64.11,-2.0,0.0,1.0,Isolate end-overlap influence on E004.,,,
C05,C05_FEED10_TAIL85_END40.tbm,2c89d2d9a60e5be6a40ca48fcf29e1075fd67b2764e94436c7c9af1119063ea5,90d289c9d2e6f20e2759f0dbcf1b7d4327f42bb4c7c7ba4eae0ee04f2f54e5a9,m_dSepFeedLength_mm: 0 -> 10; m_dSepTailLength_mm: 0 -> 85; m_dElectrodeOverlapAtEnd_mm: 20 -> 40,10,85,8,40,6,0,65.11,67.11,65.11,64.11,-2.0,0.0,1.0,Feed+tail+end-overlap interaction test.,,,
C06,C06_MANDRELWIDTH0.tbm,2c89d2d9a60e5be6a40ca48fcf29e1075fd67b2764e94436c7c9af1119063ea5,49f4f6f50d57db2dc3aed63ca37733ca0cdd51fe41280d7805f4dd7a5475ce36,m_dMandrelWidth_mm: 6 -> 0,0,0,8,20,0,0,65.11,67.11,65.11,64.11,-2.0,0.0,1.0,STAR round-mandrel convention: MandrelWidth=0 alone vs E004.,,,
C07,C07_FEED10_TAIL85_MANDRELWIDTH0.tbm,2c89d2d9a60e5be6a40ca48fcf29e1075fd67b2764e94436c7c9af1119063ea5,e418b2f09c0ea957d25607fe7e90df079e3e6da7b2564350eaaeffd5f06654c4,m_dSepFeedLength_mm: 0 -> 10; m_dSepTailLength_mm: 0 -> 85; m_dMandrelWidth_mm: 6 -> 0,10,85,8,20,0,0,65.11,67.11,65.11,64.11,-2.0,0.0,1.0,Feed+tail with STAR round-mandrel width convention.,,,
C08,C08_JRWIDTH65p11.tbm,2c89d2d9a60e5be6a40ca48fcf29e1075fd67b2764e94436c7c9af1119063ea5,a271bfbd6c7012bf9fb9f8543706804c0048594323f4a92047e6967a71acbc88,m_dJellyrollWidth_mm: 0 -> 65.11,0,0,8,20,6,65.11,65.11,67.11,65.11,64.11,-2.0,0.0,1.0,Low-probability probe: JellyrollWidth zero in Detailed Builder.,,,
C09,C09_FEED10_TAIL85_JRWIDTH65p11.tbm,2c89d2d9a60e5be6a40ca48fcf29e1075fd67b2764e94436c7c9af1119063ea5,364501027db55ce8974224aa20ae9b8e20a515ac10b3c9d6139dd9af18f8387e,m_dSepFeedLength_mm: 0 -> 10; m_dSepTailLength_mm: 0 -> 85; m_dJellyrollWidth_mm: 0 -> 65.11,10,85,8,20,6,65.11,65.11,67.11,65.11,64.11,-2.0,0.0,1.0,Feed+tail + JellyrollWidth interaction probe.,,,
