SOC,OCV_V,R0_Ohm,R1_Ohm,R2_Ohm,tau1_s,tau2_s,gamma_hyst_V
0.0,2.70,0.0095,0.0045,0.0025,1.0,45.0,0.003
0.1,3.35,0.0085,0.0040,0.0022,1.0,45.0,0.003
0.2,3.55,0.0080,0.0035,0.0020,1.0,45.0,0.003
0.3,3.67,0.0075,0.0030,0.0018,1.0,45.0,0.003
0.4,3.76,0.0072,0.0028,0.0016,1.0,45.0,0.003
0.5,3.84,0.0070,0.0027,0.0015,1.0,45.0,0.003
0.6,3.90,0.0068,0.0026,0.0014,1.0,45.0,0.003
0.7,3.97,0.0067,0.0025,0.0013,1.0,45.0,0.003
0.8,4.06,0.0066,0.0024,0.0013,1.0,45.0,0.003
0.9,4.14,0.0065,0.0023,0.0012,1.0,45.0,0.003
1.0,4.20,0.0065,0.0022,0.0012,1.0,45.0,0.003
