time_s,t_eff_k,q_raw_w
0.1,298.15,0.0
0.2,298.15,0.0
0.3,298.15,0.0
0.4,298.15,0.0
0.5,298.15,0.0
0.6,298.15,0.0
0.7,298.15,0.0
0.8,298.15,0.0
0.9,298.15,0.0
1.0,298.15,0.0
1.1,298.15,0.0
1.2,298.15,0.0
1.3,298.15,0.0
1.4,298.15,0.0
1.5,298.15,0.0
1.6,298.15,0.0
1.7,298.15,0.0
1.8,298.15,0.0
1.9,298.15,0.0
2.0,298.15,0.0
2.1,298.15,0.0
2.2,298.15,0.0
2.3,298.15,0.0
2.4,298.15,0.0
2.5,298.15,0.0
2.6,298.15,0.0
2.7,298.15,0.0
2.8,298.15,0.0
2.9,298.15,0.0
3.0,298.15,0.0
3.1,298.15,0.0
3.2,298.15,0.0
3.3,298.15,0.0
3.4,298.15,0.0
3.5,298.15,0.0
3.6,298.15,0.0
3.7,298.15,0.0
3.8,298.15,0.0
3.9,298.15,0.0
4.0,298.15,0.0
4.1,298.15,0.0
4.2,298.15,0.0
4.3,298.15,0.0
4.4,298.15,0.0
4.5,298.15,0.0
4.6,298.15,0.0
4.7,298.15,0.0
4.8,298.15,0.0
4.9,298.15,0.0
5.0,298.15,0.0
5.1,298.15,0.0
5.2,298.15,0.0
5.3,298.15,0.0
5.4,298.15,0.0
5.5,298.15,0.0
5.6,298.15,0.0
5.7,298.15,0.0
5.8,298.15,0.0
5.9,298.15,0.0
6.0,298.15,0.0
6.1,298.15,0.0
6.2,298.15,0.0
6.3,298.15,0.0
6.4,298.15,0.0
6.5,298.15,0.0
6.6,298.15,0.0
6.7,298.15,0.0
6.8,298.15,0.0
6.9,298.15,0.0
7.0,298.15,0.0
7.1,298.15,0.0
7.2,298.15,0.0
7.3,298.15,0.0
7.4,298.15,0.0
7.5,298.15,0.0
7.6,298.15,0.0
7.7,298.15,0.0
7.8,298.15,0.0
7.9,298.15,0.0
8.0,298.15,0.0
8.1,298.15,0.0
8.2,298.15,0.0
8.3,298.15,0.0
8.4,298.15,0.0
8.5,298.15,0.0
8.6,298.15,0.0
8.7,298.15,0.0
8.8,298.15,0.0
8.9,298.15,0.0
9.0,298.15,0.0
9.1,298.15,0.0
9.2,298.15,0.0
9.3,298.15,0.0
9.4,298.15,0.0
9.5,298.15,0.0
9.6,298.15,0.0
9.7,298.15,0.0
9.8,298.15,0.0
9.9,298.15,0.0
10.0,298.15,0.0
10.1,298.15,0.0
10.2,298.15,0.0
10.3,298.15,0.0
10.4,298.15,0.0
10.5,298.15,0.0
10.6,298.15,0.0
10.7,298.15,0.0
10.8,298.15,0.0
10.9,298.15,0.0
11.0,298.15,0.0
11.1,298.15,-9.2e-05
11.2,298.15,-0.000183
11.3,298.15,-0.000275
11.4,298.15,-0.000366
11.5,298.15,-0.000458
11.6,298.15,-0.00055
11.7,298.15,-0.000641
11.8,298.15,-0.000732
11.9,298.15,-0.000824
12.0,298.15,-0.000918
12.1,298.15,-0.00262
12.2,298.15,-0.004311
12.3,298.15,-0.005988
12.4,298.15,-0.00765
12.5,298.15,-0.009297
12.6,298.15,-0.010929
12.7,298.15,-0.012546
12.8,298.15,-0.014147
12.9,298.15,-0.015733
13.0,298.15,-0.017348
13.1,298.15,-0.021917
13.2,298.15,-0.026368
13.3,298.15,-0.030678
13.4,298.15,-0.034881
13.5,298.15,-0.038952
13.6,298.15,-0.042876
13.7,298.149,-0.046662
13.8,298.149,-0.050327
13.9,298.149,-0.05398
14.0,298.149,-0.057078
14.1,298.149,-0.058499
14.2,298.149,-0.059949
14.3,298.149,-0.061363
14.4,298.149,-0.062747
14.5,298.149,-0.064153
14.6,298.149,-0.065521
14.7,298.149,-0.066852
14.8,298.148,-0.068062
14.9,298.148,-0.069217
15.0,298.148,-0.070552
15.1,298.148,-0.073029
15.2,298.148,-0.075435
15.3,298.148,-0.077691
15.4,298.148,-0.079796
15.5,298.148,-0.081749
15.6,298.147,-0.08355
15.7,298.147,-0.085197
15.8,298.147,-0.086691
15.9,298.147,-0.088073
16.0,298.147,-0.08937
16.1,298.147,-0.091104
16.2,298.146,-0.092571
16.3,298.146,-0.093609
16.4,298.146,-0.094215
16.5,298.146,-0.094385
16.6,298.146,-0.094118
16.7,298.146,-0.09341
16.8,298.146,-0.092259
16.9,298.145,-0.090664
17.0,298.145,-0.0887
17.1,298.145,-0.0871
17.2,298.145,-0.085479
17.3,298.145,-0.083762
17.4,298.145,-0.081948
17.5,298.144,-0.080036
17.6,298.144,-0.078028
17.7,298.144,-0.075922
17.8,298.144,-0.073718
17.9,298.144,-0.071416
18.0,298.144,-0.069292
18.1,298.144,-0.072976
18.2,298.144,-0.076276
18.3,298.143,-0.078897
18.4,298.143,-0.080815
18.5,298.143,-0.082008
18.6,298.143,-0.082457
18.7,298.143,-0.082142
18.8,298.143,-0.081046
18.9,298.143,-0.07915
19.0,298.143,-0.076479
19.1,298.142,-0.075116
19.2,298.142,-0.073649
19.3,298.142,-0.072036
19.4,298.142,-0.070276
19.5,298.142,-0.068366
19.6,298.142,-0.066306
19.7,298.142,-0.064094
19.8,298.142,-0.061728
19.9,298.141,-0.059208
20.0,298.141,-0.056639
20.1,298.141,-0.055213
20.2,298.141,-0.053852
20.3,298.141,-0.052446
20.4,298.141,-0.050998
20.5,298.141,-0.049507
20.6,298.141,-0.047973
20.7,298.141,-0.046396
20.8,298.141,-0.044776
20.9,298.141,-0.043115
21.0,298.141,-0.041422
21.1,298.14,-0.042966
21.2,298.14,-0.044493
21.3,298.14,-0.045992
21.4,298.14,-0.047462
21.5,298.14,-0.048903
21.6,298.14,-0.050313
21.7,298.14,-0.051694
21.8,298.14,-0.053044
21.9,298.14,-0.054363
22.0,298.14,-0.055513
22.1,298.14,-0.054912
22.2,298.14,-0.054166
22.3,298.139,-0.053411
22.4,298.139,-0.052649
22.5,298.139,-0.051879
22.6,298.139,-0.051102
22.7,298.139,-0.050316
22.8,298.139,-0.049522
22.9,298.139,-0.04872
23.0,298.139,-0.047965
23.1,298.139,-0.054279
23.2,298.139,-0.060071
23.3,298.139,-0.065277
23.4,298.138,-0.069891
23.5,298.138,-0.073903
23.6,298.138,-0.077307
23.7,298.138,-0.080095
23.8,298.138,-0.082262
23.9,298.138,-0.083801
24.0,298.138,-0.084667
24.1,298.138,-0.083947
24.2,298.137,-0.08317
24.3,298.137,-0.082375
24.4,298.137,-0.081557
24.5,298.137,-0.080713
24.6,298.137,-0.079841
24.7,298.137,-0.078937
24.8,298.137,-0.077999
24.9,298.136,-0.077025
25.0,298.136,-0.076084
25.1,298.136,-0.078103
25.2,298.136,-0.079684
25.3,298.136,-0.080746
25.4,298.136,-0.081284
25.5,298.136,-0.081295
25.6,298.135,-0.080772
25.7,298.135,-0.079711
25.8,298.135,-0.07811
25.9,298.135,-0.075963
26.0,298.135,-0.073459
26.1,298.135,-0.071459
26.2,298.135,-0.069515
26.3,298.135,-0.06745
26.4,298.134,-0.065276
26.5,298.134,-0.062976
26.6,298.134,-0.06055
26.7,298.134,-0.057997
26.8,298.134,-0.055317
26.9,298.134,-0.05251
27.0,298.134,-0.049575
27.1,298.134,-0.047224
27.2,298.134,-0.045153
27.3,298.134,-0.043051
27.4,298.134,-0.040916
27.5,298.134,-0.038748
27.6,298.133,-0.036547
27.7,298.133,-0.034313
27.8,298.133,-0.032044
27.9,298.133,-0.029741
28.0,298.133,-0.027541
28.1,298.133,-0.026925
28.2,298.133,-0.026477
28.3,298.133,-0.026059
28.4,298.133,-0.025668
28.5,298.133,-0.025303
28.6,298.133,-0.024962
28.7,298.133,-0.024646
28.8,298.133,-0.024351
28.9,298.133,-0.024076
29.0,298.133,-0.023966
29.1,298.133,-0.028524
29.2,298.133,-0.032971
29.3,298.133,-0.037153
29.4,298.133,-0.041061
29.5,298.133,-0.044685
29.6,298.132,-0.048016
29.7,298.132,-0.051045
29.8,298.132,-0.053764
29.9,298.132,-0.056124
30.0,298.132,-0.05803
30.1,298.132,-0.059031
30.2,298.132,-0.059769
30.3,298.132,-0.060449
30.4,298.132,-0.061071
30.5,298.132,-0.061635
30.6,298.132,-0.062139
30.7,298.131,-0.062584
30.8,298.131,-0.062969
30.9,298.131,-0.063287
31.0,298.131,-0.063547
31.1,298.131,-0.063713
31.2,298.131,-0.06385
31.3,298.131,-0.063967
31.4,298.131,-0.064064
31.5,298.131,-0.064142
31.6,298.13,-0.064201
31.7,298.13,-0.064241
31.8,298.13,-0.064263
31.9,298.13,-0.064267
32.0,298.13,-0.064253
32.1,298.13,-0.064277
