time,current_A,init_q_ah,init_soc,init_v_rc1,init_v_rc2,init_hysteresis
0,50,0,1,0,0,1
0.00200000000040745,50,,,,,
1,50,,,,,
2,50,,,,,
3,50,,,,,
4.0010000000002,50,,,,,
5,50,,,,,
6,50,,,,,
7,50,,,,,
8.0010000000002,50,,,,,
9,50,,,,,
10,50,,,,,
11,50,,,,,
12,50,,,,,
13,50,,,,,
14,50,,,,,
15,50,,,,,
16,50,,,,,
17,50,,,,,
18,50,,,,,
19,50,,,,,
20.0010000000002,50,,,,,
21.0010000000002,50,,,,,
22,50,,,,,
23,50,,,,,
24,50,,,,,
25.0010000000002,50,,,,,
26,50,,,,,
27,50,,,,,
28,50,,,,,
29,50,,,,,
30,50,,,,,
31,50,,,,,
32,50,,,,,
33,50,,,,,
34,50,,,,,
35,50,,,,,
36,50,,,,,
37,50,,,,,
38,50,,,,,
39,50,,,,,
40,50,,,,,
41,50,,,,,
42.0010000000002,50,,,,,
43,50,,,,,
44.0010000000002,50,,,,,
45,50,,,,,
46,50,,,,,
47,50,,,,,
48,50,,,,,
49,50,,,,,
50,50,,,,,
51,50,,,,,
52,50,,,,,
53,50,,,,,
54,50,,,,,
55,50,,,,,
56,50,,,,,
57,50,,,,,
58,50,,,,,
59,50,,,,,
60.0010000000002,50,,,,,
61.0010000000002,50,,,,,
62,50,,,,,
63,50,,,,,
64.0010000000002,50,,,,,
65,50,,,,,
66,50,,,,,
67,50,,,,,
68.0010000000002,50,,,,,
69,50,,,,,
70,50,,,,,
71,50,,,,,
72,50,,,,,
73.0010000000002,50,,,,,
74,50,,,,,
75,50,,,,,
76,50,,,,,
77.0010000000002,50,,,,,
78,50,,,,,
79,50,,,,,
80,50,,,,,
81,50,,,,,
82,50,,,,,
83,50,,,,,
84,50,,,,,
85,50,,,,,
86,50,,,,,
87.0010000000002,50,,,,,
88,50,,,,,
89,50,,,,,
90,50,,,,,
91,50,,,,,
92,50,,,,,
93,50,,,,,
94,50,,,,,
95,50,,,,,
96,50,,,,,
97,50,,,,,
98,50,,,,,
99,50,,,,,
100,50,,,,,
101,50,,,,,
102,50,,,,,
103,50,,,,,
104,50,,,,,
105,50,,,,,
106,50,,,,,
107,50,,,,,
108,50,,,,,
109.001,50,,,,,
110.001,50,,,,,
111,50,,,,,
112,50,,,,,
113,50,,,,,
114,50,,,,,
115.001,50,,,,,
