Q_Ah,T_degC,E_OCV_dch_V,E_OCV_ch_V,R0_Ohm,R_Ohm_1,R_Ohm_2,C_F_1,C_F_2,gamma,dUdT
0.0,15.0,4.201,4.203,0.008141,0.002763,0.001487,847.6,3955.4,3.5,-0.0001
0.0,25.0,4.2,4.202,0.0068,0.0025,0.0014,900.0,4200.0,3.5,-0.0001
0.0,35.0,4.199,4.201,0.00568,0.002262,0.001318,955.7,4459.7,3.5,-0.0001
0.9,15.0,4.1212,4.1262,0.008141,0.002763,0.001487,866.4,4049.6,3.5,-0.00012
0.9,25.0,4.12,4.125,0.0068,0.0025,0.0014,920.0,4300.0,3.5,-0.00012
0.9,35.0,4.1188,4.1238,0.00568,0.002262,0.001318,976.9,4565.9,3.5,-0.00012
1.8,15.0,4.0515,4.0615,0.008141,0.002763,0.00138,885.3,4143.8,3.5,-0.00015
1.8,25.0,4.05,4.06,0.0068,0.0025,0.0013,940.0,4400.0,3.5,-0.00015
1.8,35.0,4.0485,4.0585,0.00568,0.002262,0.001224,998.1,4672.1,3.5,-0.00015
2.7,15.0,3.9718,3.9868,0.008141,0.002652,0.00138,904.1,4237.9,3.5,-0.00018
2.7,25.0,3.97,3.985,0.0068,0.0024,0.0013,960.0,4500.0,3.5,-0.00018
2.7,35.0,3.9682,3.9832,0.00568,0.002172,0.001224,1019.4,4778.3,3.5,-0.00018
3.6,15.0,3.882,3.9,0.008141,0.002652,0.00138,913.5,4237.9,3.5,-0.0002
3.6,25.0,3.88,3.898,0.0068,0.0024,0.0013,970.0,4500.0,3.5,-0.0002
3.6,35.0,3.878,3.896,0.00568,0.002172,0.001224,1030.0,4778.3,3.5,-0.0002
4.5,15.0,3.762,3.78,0.008381,0.002763,0.001487,913.5,4237.9,3.5,-0.0002
4.5,25.0,3.76,3.778,0.007,0.0025,0.0014,970.0,4500.0,3.5,-0.0002
4.5,35.0,3.758,3.776,0.005847,0.002262,0.001318,1030.0,4778.3,3.5,-0.0002
5.4,15.0,3.6518,3.6668,0.00862,0.002873,0.001593,904.1,4143.8,3.5,-0.00018
5.4,25.0,3.65,3.665,0.0072,0.0026,0.0015,960.0,4400.0,3.5,-0.00018
5.4,35.0,3.6482,3.6632,0.006014,0.002353,0.001413,1019.4,4672.1,3.5,-0.00018
6.3,15.0,3.5412,3.5532,0.008979,0.002984,0.001699,885.3,3955.4,3.5,-0.00012
6.3,25.0,3.54,3.552,0.0075,0.0027,0.0016,940.0,4200.0,3.5,-0.00012
6.3,35.0,3.5388,3.5508,0.006265,0.002443,0.001507,998.1,4459.7,3.5,-0.00012
7.2,15.0,3.4095,3.4175,0.009578,0.003316,0.001911,847.6,3672.9,3.5,5e-05
7.2,25.0,3.41,3.418,0.008,0.003,0.0018,900.0,3900.0,3.5,5e-05
7.2,35.0,3.4105,3.4185,0.006682,0.002715,0.001695,955.7,4141.2,3.5,5e-05
8.1,15.0,3.2285,3.2335,0.010775,0.003868,0.002124,772.2,3296.2,3.5,0.00015
8.1,25.0,3.23,3.235,0.009,0.0035,0.002,820.0,3500.0,3.5,0.00015
8.1,35.0,3.2315,3.2365,0.007517,0.003167,0.001884,870.7,3716.4,3.5,0.00015
9.0,15.0,2.798,2.8,0.014367,0.004421,0.002655,659.2,2825.3,3.5,0.0002
9.0,25.0,2.8,2.802,0.012,0.004,0.0025,700.0,3000.0,3.5,0.0002
9.0,35.0,2.802,2.804,0.010023,0.003619,0.002354,743.3,3185.5,3.5,0.0002
